t,xdot,beta,history
6.12,0.025245633850961128,1.0,True
6.13,0.02519343907996746,1.0,True
6.140000000000001,0.02514142702061862,1.0,True
6.15,0.02508956455333772,1.0,True
6.16,0.025037932079084023,1.0,True
6.17,0.024986477360412006,1.0,True
6.18,0.024935148534264095,1.0,True
6.19,0.024884011923276644,1.0,True
6.2,0.024833102111523776,1.0,True
6.21,0.024782235442423715,1.0,True
6.22,0.024731608925427005,1.0,True
6.23,0.02468119065741733,1.0,True
6.24,0.024630867994204463,1.0,True
6.25,0.0245807956863704,1.0,True
6.26,0.02453091959929912,1.0,True
6.2700000000000005,0.0244811772140193,1.0,True
6.28,0.024431546273679747,1.0,True
6.29,0.02438212850745872,1.0,True
6.3,0.024332859901906697,1.0,True
6.3100000000000005,0.024283718575421453,1.0,True
6.32,0.0242348239532334,1.0,True
6.33,0.024186083755473185,1.0,True
6.34,0.02413743268111606,1.0,True
6.3500000000000005,0.024089035628154336,1.0,True
6.36,0.024040664306408707,1.0,True
6.37,0.023992601599660636,1.0,True
6.38,0.023944684515999192,1.0,True
6.390000000000001,0.023896868388551918,1.0,True
6.4,0.023849219454330203,1.0,True
6.41,0.02380177360401196,1.0,True
6.42,0.02375447631745817,1.0,True
6.43,0.023707335992181302,1.0,True
6.44,0.023660329885467846,1.0,True
6.45,0.02361347150854996,1.0,True
6.46,0.023566768484620554,1.0,True
6.47,0.023520184536265105,1.0,True
6.48,0.023473852379941318,1.0,True
6.49,0.023427593942707024,1.0,True
6.5,0.02338148657044582,1.0,True
6.51,0.023335611502483082,1.0,True
6.5200000000000005,0.02328983119074901,1.0,True
6.53,0.023244176018764724,1.0,True
6.54,0.023198677766537314,1.0,True
6.55,0.023153378734337222,1.0,True
6.5600000000000005,0.023108127934228485,1.0,True
6.57,0.023063059953429207,1.0,True
6.58,0.023018197310109616,1.0,True
6.59,0.02297348158768265,1.0,True
6.6000000000000005,0.022928788737998546,1.0,True
6.61,0.02288426256978527,1.0,True
6.62,0.02283998898155907,1.0,True
6.63,0.02279577618276297,1.0,True
6.640000000000001,0.022751751158730214,1.0,True
6.65,0.022707845163099896,1.0,True
6.66,0.022664081006072666,1.0,True
6.67,0.022620513536663663,1.0,True
6.68,0.02257701573151484,1.0,True
6.69,0.0225336279493247,1.0,True
6.7,0.0224905009172716,1.0,True
6.71,0.022447353003927785,1.0,True
6.72,0.022404446308070824,1.0,True
6.73,0.02236169695366808,1.0,True
6.74,0.02231900531257426,1.0,True
6.75,0.02227650693585555,1.0,True
6.76,0.022234159806602576,1.0,True
6.7700000000000005,0.022191860958949525,1.0,True
6.78,0.02214975142771112,1.0,True
6.79,0.022107746410733486,1.0,True
6.8,0.0220659630312519,1.0,True
6.8100000000000005,0.022024234840329386,1.0,True
6.82,0.02198267081568612,1.0,True
6.83,0.021941306385700993,1.0,True
6.84,0.0218999836431086,1.0,True
6.8500000000000005,0.021858813073194105,1.0,True
6.86,0.021817661670551932,1.0,True
6.87,0.02177674582182074,1.0,True
6.88,0.021735879719067826,1.0,True
6.890000000000001,0.02169526993720221,1.0,True
6.9,0.021654744148893186,1.0,True
6.91,0.02161429984217051,1.0,True
6.92,0.02157402725295276,1.0,True
6.93,0.021533895655407073,1.0,True
6.94,0.021493794206153004,1.0,True
6.95,0.02145383938621814,1.0,True
6.96,0.021414062925556046,1.0,True
6.97,0.021374341914773252,1.0,True
6.98,0.021334797575220357,1.0,True
6.99,0.021295358935640944,1.0,True
7.0,0.021256067248715035,1.0,True
7.01,0.0212168360470501,1.0,True
7.0200000000000005,0.021177770397004823,1.0,True
7.03,0.021138806958294506,1.0,True
7.04,0.02109991990156086,1.0,True
7.05,0.02106122226830831,1.0,True
7.0600000000000005,0.021022647674796557,1.0,True
7.07,0.020984137391827206,1.0,True
7.08,0.020945749265136367,1.0,True
7.09,0.020907431918663816,1.0,True
7.1000000000000005,0.020869376322415756,1.0,True
7.11,0.020831369766213678,1.0,True
7.12,0.020793531822298723,1.0,True
7.13,0.020755729336757404,1.0,True
7.140000000000001,0.0207180646657948,1.0,True
7.15,0.020680446749763607,1.0,True
7.16,0.020642997364071273,1.0,True
7.17,0.020605647892352648,1.0,True
7.18,0.02056848459872796,1.0,True
7.19,0.020531342854136467,1.0,True
7.2,0.02049432514441136,1.0,True
7.21,0.02045744266767016,1.0,True
7.22,0.020420664958138688,1.0,True
7.23,0.020384036261863577,1.0,True
7.24,0.020347525975705768,1.0,True
7.25,0.020311118173440848,1.0,True
7.26,0.02027485237331432,1.0,True
7.2700000000000005,0.020238576378124675,1.0,True
7.28,0.02020242256631895,1.0,True
7.29,0.020166397388165728,1.0,True
7.3,0.020130552445743976,1.0,True
7.3100000000000005,0.020094715225866294,1.0,True
7.32,0.020059005100724538,1.0,True
7.33,0.020023478463670523,1.0,True
7.34,0.019988065105295418,1.0,True
7.3500000000000005,0.01995263631262732,1.0,True
7.36,0.01991736374242914,1.0,True
7.37,0.01988217335226983,1.0,True
7.38,0.019847067702695672,1.0,True
7.390000000000001,0.019812076980765776,1.0,True
7.4,0.019777265185694132,1.0,True
7.41,0.019742465702273015,1.0,True
7.42,0.01970787488009173,1.0,True
7.43,0.019673276587782777,1.0,True
7.44,0.01963880245764475,1.0,True
7.45,0.01960454488414102,1.0,True
7.46,0.019570280560487468,1.0,True
7.47,0.019536060060227477,1.0,True
7.48,0.019502070292905557,1.0,True
