t,xdot,beta
2.96,0.03262098314125764,0.01
2.97,0.03245636945957679,0.01
2.98,0.032293135605311454,0.01
2.99,0.03213126544016327,0.01
3.0,0.031970743067706184,0.01
3.01,0.03181155282897051,0.01
3.02,0.03165367929812199,0.01
3.03,0.031497107278233516,0.01
3.04,0.03134182179714704,0.01
3.0500000000000003,0.03118780810342377,0.01
3.06,0.031035051662380214,0.01
3.0700000000000003,0.030883538152208095,0.01
3.08,0.030733253460176153,0.01
3.09,0.030584183678911664,0.01
3.1,0.030436315102759973,0.01
3.11,0.03028963422422001,0.01
3.12,0.030144127730453968,0.01
3.13,0.02999978249986949,0.01
3.14,0.029856585598772443,0.01
3.15,0.029714524278088836,0.01
3.16,0.029573585970153974,0.01
3.17,0.029433758285567543,0.01
3.18,0.029295029010112758,0.01
3.19,0.02915738610173843,0.01
3.2,0.029020817687602094,0.01
3.21,0.028885312061173146,0.01
3.22,0.028750857679394243,0.01
3.23,0.02861744315989994,0.01
3.24,0.028485057278290933,0.01
3.25,0.0283536889654629,0.01
3.26,0.02822332730498848,0.01
3.27,0.028093961530551277,0.01
3.28,0.027965581023430726,0.01
3.29,0.027838175310036503,0.01
3.3000000000000003,0.027711734059491552,0.01
3.31,0.02758624708126253,0.01
3.3200000000000003,0.027461704322836556,0.01
3.33,0.027338095867443336,0.01
3.34,0.027215411931821545,0.01
3.35,0.02709364286402852,0.01
3.36,0.02697277914129235,0.01
3.37,0.026852811367905238,0.01
3.38,0.026733730273157494,0.01
3.39,0.026615526709311003,0.01
3.4,0.026498191649611452,0.01
3.41,0.026381716186338413,0.01
3.42,0.026266091528892466,0.01
3.43,0.02615130900191853,0.01
3.44,0.026037360043464644,0.01
3.45,0.025924236203175383,0.01
3.46,0.025811929140519243,0.01
3.47,0.025700430623049133,0.01
3.48,0.025589732524695416,0.01
3.49,0.025479826824090644,0.01
3.5,0.02537070560292544,0.01
3.51,0.02526236104433477,0.01
3.52,0.025154785431313977,0.01
3.53,0.025047971145164064,0.01
3.54,0.02494191066396533,0.01
3.5500000000000003,0.02483659656107911,0.01
3.56,0.02473202150367673,0.01
3.5700000000000003,0.024628178251295263,0.01
3.58,0.024525059654419548,0.01
3.59,0.02442265865308976,0.01
3.6,0.024320968275534153,0.01
3.61,0.024219981636826468,0.01
3.62,0.0241196919375673,0.01
3.63,0.024020092462589168,0.01
3.64,0.023921176579684653,0.01
3.65,0.023822937738357173,0.01
3.66,0.023725369468593906,0.01
3.67,0.0236284653796605,0.01
3.68,0.023532219158916956,0.01
3.69,0.023436624570654457,0.01
3.7,0.023341675454952537,0.01
3.71,0.02324736572655633,0.01
3.72,0.02315368937377334,0.01
3.73,0.023060640457389515,0.01
3.74,0.022968213109604056,0.01
3.75,0.02287640153298278,0.01
3.76,0.022785199999429448,0.01
3.77,0.022694602849174902,0.01
3.78,0.022604604489783568,0.01
3.79,0.02251519939517692,0.01
3.8,0.022426382104673733,0.01
3.81,0.022338147222046592,0.01
3.82,0.022250489414594565,0.01
3.83,0.022163403412231466,0.01
3.84,0.0220768840065897,0.01
3.85,0.021990926050139043,0.01
3.86,0.02190552445532045,0.01
3.87,0.021820674193694233,0.01
3.88,0.02173637029510261,0.01
3.89,0.021652607846846167,0.01
3.9,0.02156938199287409,0.01
3.91,0.021486687932987834,0.01
3.92,0.02140452092205795,0.01
3.93,0.02132287626925393,0.01
3.94,0.021241749337286675,0.01
3.95,0.021161135541663476,0.01
3.96,0.021081030349955187,0.01
3.97,0.021001429281075384,0.01
3.98,0.020922327904571342,0.01
3.99,0.02084372183992645,0.01
4.0,0.02076560675587409,0.01
4.01,0.02068797836972252,0.01
4.0200000000000005,0.020610832446690687,0.01
4.03,0.02053416479925483,0.01
4.04,0.020457971286505474,0.01
4.05,0.020382247813514776,0.01
4.0600000000000005,0.020306990330714064,0.01
4.07,0.020232194833281213,0.01
4.08,0.020157857360537802,0.01
4.09,0.020083973995355896,0.01
4.1,0.020010540863574157,0.01
4.11,0.01993755413342323,0.01
4.12,0.019865010014960185,0.01
4.13,0.019792904759511815,0.01
4.14,0.019721234659126723,0.01
4.15,0.019649996046035956,0.01
4.16,0.01957918529212207,0.01
4.17,0.019508798808396444,0.01
4.18,0.01943883304448476,0.01
4.19,0.019369284488120406,0.01
4.2,0.01930014966464579,0.01
4.21,0.019231425136521256,0.01
4.22,0.01916310750284164,0.01
4.23,0.019095193398860177,0.01
4.24,0.019027679495519808,0.01
4.25,0.018960562498991515,0.01
4.26,0.018893839150219815,0.01
4.2700000000000005,0.018827506224475075,0.01
4.28,0.018761560530912737,0.01
4.29,0.01869599891213908,0.01
4.3,0.01863081824378363,0.01
4.3100000000000005,0.018566015434077997,0.01
4.32,0.018501587423441077,0.01
4.33,0.01843753118407038,0.01
4.34,0.018373843719539578,0.01
4.3500000000000005,0.018310522064402,0.01
4.36,0.018247563283800117,0.01
4.37,0.018184964473080677,0.01
4.38,0.01812272275741573,0.01
4.39,0.018060835291429135,0.01
4.4,0.01799929925882861,0.01
4.41,0.017938111872043267,0.01
4.42,0.017877270371866368,0.01
4.43,0.01781677202710339,0.01
4.44,0.01775661413422523,0.01
4.45,0.01769679401702647,0.01
4.46,0.017637309026288597,0.01
4.47,0.017578156539448143,0.01
4.48,0.01751933396026964,0.01
4.49,0.017460838718523285,0.01
4.5,0.017402668269667264,0.01
4.51,0.01734482009453468,0.01
4.5200000000000005,0.017287291699024928,0.01
4.53,0.017230080613799565,0.01
4.54,0.017173184393982455,0.01
4.55,0.017116600618864258,0.01
4.5600000000000005,0.017060326891611088,0.01
4.57,0.017004360838977356,0.01
4.58,0.016948700111022626,0.01
4.59,0.016893342380832524,0.01
4.6000000000000005,0.016838285344243593,0.01
4.61,0.016783526719571992,0.01
4.62,0.01672906424734602,0.01
4.63,0.016674895690042428,0.01
4.64,0.01662101883182635,0.01
4.65,0.016567431478294953,0.01
4.66,0.01651413145622461,0.01
4.67,0.016461116613321593,0.01
4.68,0.016408384817976216,0.01
4.69,0.01635593395902044,0.01
4.7,0.016303761945488767,0.01
4.71,0.016251866706382456,0.01
4.72,0.01620024619043698,0.01
4.73,0.016148898365892686,0.01
4.74,0.01609782122026859,0.01
4.75,0.016047012760139288,0.01
4.76,0.015996471010914833,0.01
