x_p0,z_p0,u_d,w_d,t,v_x_drift,v_y_drift,history
0.47297794404284627,-3.609855945765608,5.9594221450524035e-05,-0.013262290122306437,33.025584866671686,1.1518866015111796e-05,-0.013263218010534504,False
0.47331639404551595,-3.6931901625788837,5.38630984096996e-05,-0.013262340332995701,33.81519561940407,9.750492344511624e-06,-0.013263171020249712,False
0.47362289190116436,-3.776524216214915,4.8778292548916285e-05,-0.013262385927451471,34.60480211141519,8.25360168812326e-06,-0.013263131243974253,False
0.4739012496478228,-3.8598582215474293,4.430003372677943e-05,-0.01326242682711321,35.39440571069499,6.986513603653571e-06,-0.013263097574150427,False
0.4741535962291088,-3.9431921257855134,4.016058051516732e-05,-0.013262466064495807,36.18400601602636,5.913949333584967e-06,-0.01326306907332996,False
0.47438258590891547,-4.026525922581994,3.644351062798774e-05,-0.013262502099601982,36.9736031579395,5.006045392571442e-06,-0.01326304494796242,False
0.4745905739397827,-4.109859603188815,3.3101245013003606e-05,-0.01326253519541424,37.763197228555825,4.2375229956247895e-06,-0.013263024526324786,False
0.47478021523172775,-4.193193274899572,3.01814356391384e-05,-0.0132625644104988,38.55278947554521,3.586983347090944e-06,-0.013263007239795439,False
0.4749528505533176,-4.276526920185655,2.7474999687526937e-05,-0.013262592250011045,39.342379814726144,3.0363139564258906e-06,-0.01326299260707843,False
0.47511000390546815,-4.359860505337682,2.501110314333503e-05,-0.013262618105304718,40.131968044839454,2.5701829807042703e-06,-0.013262980220766834,False
,,,,,,,False
0.028079899452486668,-0.24638806363592874,0.01202471059379485,-0.011599623585969604,1.3862961749702167,0.009613484030849105,-0.01351836718242475,True
0.09416369817198816,-0.3227407688889306,0.010407972342824704,-0.012025290010130408,2.1841782974054036,0.008252046985343266,-0.013482190261473848,True
0.1511122195031314,-0.4002865248948696,0.008982176821559117,-0.012230865278426735,2.9809074636240056,0.007066531581443794,-0.013450688035796557,True
0.2001401832833535,-0.4785512629840217,0.007742594945340732,-0.012359725324181918,3.776640118733908,0.006042635759701398,-0.01342348046249935,True
0.24235488124995955,-0.5573070239070875,0.006673822372679849,-0.012450686243013275,4.5715152448583565,0.005162024146203784,-0.013400080323040008,True
0.2787228220294354,-0.6364246754829493,0.005754822061767586,-0.012519488236214975,5.365654520427181,0.004406556193191889,-0.013380005575913604,True
0.3100551449681917,-0.7158236950399296,0.004961925846810998,-0.012573981447890382,6.159164126198999,0.0037595355908574004,-0.01336281255677142,True
0.3370988305459839,-0.7954490335352388,0.004285688397550135,-0.012618449817379068,6.952131192920422,0.003206066382602348,-0.01334810544132903,True
0.36043634406547337,-0.8752628589264132,0.0037005220107605473,-0.012655710617002398,7.744635178171003,0.002733047013428547,-0.013335536087216526,True
0.380613850763674,-0.955236454303604,0.003201063838523318,-0.012687424072145183,8.53674067819837,0.0023290720307351073,-0.013324801421913206,True
0.39807370943566256,-1.0353483457972146,0.0027711196098834582,-0.012714858560622905,9.328503885257371,0.001984260171688763,-0.013315638874582186,True
0.4131937661835601,-1.1155818282172578,0.0024006511131783575,-0.01273888068658448,10.11997348182305,0.001690085586156668,-0.01330782189122501,True
0.42630400207575675,-1.1959234157582515,0.0020822107710111787,-0.012760115097361885,10.911190611984235,0.0014392123651022109,-0.013301155537671062,True
0.4376858914982034,-1.2763621207442946,0.0018082056070218568,-0.012779048537450476,11.702190486216958,0.0012253402803430284,-0.01329547240048196,True
0.4475798803912717,-1.3568888362700224,0.0015721993144353413,-0.012796057112210575,12.493003267669566,0.0010430667314230942,-0.013290628918521128,True
0.4561916268802426,-1.437495898851638,0.0013687243030291588,-0.012811436761700799,13.283654809238703,0.0008877643250618559,-0.013286502129921562,True
0.46369723182313455,-1.5181767730039248,0.0011931274645204425,-0.012825424139032916,14.074167275023369,0.0007554733902815878,-0.0132829868159334,True
0.47024763873883846,-1.5989258184213566,0.0010414427284080817,-0.01283821100858149,14.864559667540437,0.0006428082504292073,-0.01327999301032791,True
0.4759723470890305,-1.679738116256847,0.0009102852521297352,-0.012849954689463716,15.654848278932521,0.0005468758838272842,-0.01327744383799956,True
