x,z,history
0.38023045045520365,-0.40285784086456267,False
0.3825263593122433,-0.40972191809221026,False
0.38417792254897093,-0.4167131951399109,False
0.38517421544935004,-0.42377376597198935,False
0.38551026822734424,-0.4308451668812459,False
0.3851871359422912,-0.43786891393421845,False
0.38421191539835087,-0.4447870400932256,False
0.38259770772212526,-0.45154262706499565,False
0.380363525675144,-0.4580803269720157,False
0.377534145179121,-0.4643468690354924,False
0.3741399010194896,-0.4702915465973262,False
0.3702164272513852,-0.47586667999159715,False
0.3658043434622688,-0.4810280510020867,False
0.36094888874168113,-0.4857353049091742,False
0.3556995059600604,-0.48995231643447773,False
0.3501093797476893,-0.49364751623183495,False
0.3442349323683612,-0.49679417494527633,False
0.3381352824720048,-0.4993706422547695,False
0.3318716724547634,-0.5013605387547235,False
0.32550687082108726,-0.5027528989542438,False
0.3191045564986742,-0.5035422641475105,False
0.312728692475612,-0.5037287243728278,False
0.30644289638783284,-0.5033179091552561,False
0.30030981576980303,-0.5023209272056366,False
0.2943905155871167,-0.5007542557236737,False
0.2887438854007146,-0.4986395804200521,False
0.28342607308231377,-0.49600358782793896,False
0.2784899514307192,-0.49287771191349183,False
0.27398462335655815,-0.4892978374140843,False
0.26995497053999473,-0.48530396272813364,False
0.26644124965495875,-0.4809398255480529,False
0.263478739426152,-0.47625249476468795,False
0.26109744097034443,-0.47129193247459966,False
0.25932183309529644,-0.4661105301880204,False
0.25817068350644706,-0.4607626235628585,False
0.2576569162154845,-0.4553039901767595,False
0.2577875348623416,-0.4497913349933149,False
0.25856360115384747,-0.44428176827885646,False
0.2599802671846715,-0.4388322807820976,False
0.26202686003244063,-0.4334992209998917,False
0.26468701670014244,-0.4283377793186947,False
0.26793886720533805,-0.4234014837435622,False
0.27175526337772193,-0.41874171180572517,False
0.2761040507154599,-0.4144072230774562,False
0.28094838045935994,-0.4104437165209271,False
0.28624705886694,-0.40689341665832685,False
0.2919549305024293,-0.40379469227619236,False
0.2980232922021459,-0.40118171107056305,False
0.3044003342275826,-0.39908413330423637,False
0.3110316049823234,-0.39752684718634557,False
0.3178604955459076,-0.3965297483010417,False
0.3248287401708713,-0.39610756500975036,False
0.3318769288014607,-0.3962697313337811,False
0.3389450276068495,-0.3970203083946056,False
0.34597290348053295,-0.3983579550514336,False
0.3529008484426887,-0.4002759479334316,False
0.35967009989461046,-0.4027622506206011,False
0.3662233527138225,-0.40579963128655394,False
0.37250525924421624,-0.40936582768174007,False
0.37846291332565596,-0.4134337579106447,False
0.38404631461935135,-0.417971775044588,False
0.3892088096156904,-0.4229439632165073,False
0.39390750585665607,-0.42831047246889775,False
0.3981036560619102,-0.43402788927427455,False
0.40176300901298695,-0.44004963932232855,False
0.40485612422145306,-0.44632641887245367,False
0.40735864758315266,-0.45280665070744075,False
0.4092515454021044,-0.45943696049652044,False
0.4105212943563964,-0.46616266918600513,False
0.41116002517865935,-0.4729282968856113,False
0.411165618041493,-0.47967807360988474,False
0.41054174788149445,-0.4863564521683445,False
0.40929787817353747,-0.49290861847594925,False
0.40744920198963963,-0.4992809945777679,False
0.40501652955386347,-0.5054217297483412,False
0.40202612194465176,-0.5112811751367313,False
0.3985094711047275,-0.5168123375817789,False
0.3945030268984026,-0.5219713084172601,False
0.3900478726042773,-0.5267176633216557,False
0.3851893509396975,-0.5310148295398547,False
0.37997664346780513,-0.5348304171116722,False
0.374462307018487,-0.5381365110815115,False
0.3687017715356996,-0.5409099220314741,False
0.36275280451625763,-0.5431323926730369,False
0.3566749478977776,-0.5447907586461291,False
0.35052893385460754,-0.5458770621049336,False
0.34437608644113504,-0.5463886171127188,False
0.3382777163573821,-0.5463280263191247,False
0.3322945162844807,-0.5457031488481553,False
0.3264859642378694,-0.5445270197793182,False
0.3209097422132597,-0.5428177220535384,False
0.3156211770630437,-0.5405982120754786,False
0.31067271005563074,-0.5378961007106101,False
0.30611340096086753,-0.5347433917849125,False
