t,inertial,stokes_drag,history,velocity,R^2
0.55,-0.0773486355904933,0.015552481812717182,0.04302619838648734,-0.2594315723252214,0.9229422287430148
0.555,-0.07713654071596926,0.016132314639820032,0.04299776299586219,-0.22745287007865278,0.9229422287430148
0.56,-0.0768035495578437,0.016683812161083694,0.04290407548755032,-0.19500844523545924,0.9229422287430148
0.5650000000000001,-0.07635010736617344,0.01720611338758683,0.04274523419871889,-0.16214856717986315,0.9229422287430148
0.5700000000000001,-0.0757768452241719,0.017698401964197138,0.042521437931011014,-0.12892411148945856,0.9229422287430148
0.5750000000000001,-0.07508457918009576,0.018159907445130456,0.04223298571507566,-0.0953864811914002,0.9229422287430148
0.58,-0.07427430909366256,0.018589906499295452,0.041880276420489415,-0.06158752725888428,0.9229422287430148
0.585,-0.07334721719861498,0.018987724043537074,0.04146380821156129,-0.027579468470962543,0.9229422287430148
0.59,-0.07230466638348938,0.019352734302005393,0.04098417784975137,0.006585189240579284,0.9229422287430148
0.595,-0.071148198193079,0.0196843617899873,0.040442079843669834,0.040853733832672275,0.9229422287430148
0.6,-0.0698795305535118,0.019982082220656096,0.039838305447857526,0.07517332845579391,0.9229422287430148
0.605,-0.06850055522429718,0.020245423333309923,0.03917374151178569,0.10949109289668864,0.9229422287430148
0.61,-0.06701333498111206,0.02047396564179225,0.03844936918074244,0.1437541850335351,0.9229422287430148
0.615,-0.06542010053351366,0.02066734310190975,0.037666262450501795,0.17790988217818113,0.9229422287430148
0.62,-0.06372324718218388,0.020825243696786008,0.03682558657790143,0.21190566218015744,0.9229422287430148
0.625,-0.06192533122070756,0.020947409939216857,0.03592859634967591,0.24568928416779856,0.9229422287430148
0.63,-0.06002906608728187,0.02103363929022039,0.03497663421211124,0.2792088688024421,0.9229422287430148
0.635,-0.058037318272151764,0.021083784493102532,0.03397112826430736,0.312412977922335,0.9229422287430148
0.64,-0.055953102986937335,0.02109775382249026,0.03291359011804345,0.345250693454117,0.9229422287430148
0.645,-0.05377957960238856,0.021075511247914385,0.03180561262744774,0.3776716954707846,0.9229422287430148
0.65,-0.05152004686147295,0.021017076511655707,0.030648867491881573,0.40962633927660735,0.9229422287430148
0.655,-0.04917793787504322,0.0209225251207002,0.029445102735640803,0.4410657314008326,0.9229422287430148
0.66,-0.04675681490766854,0.020791988252781262,0.028196140068268725,0.47194180438394645,0.9229422287430148
0.665,-0.044260363961553945,0.02062565257661912,0.026903872129468067,0.5022073902421875,0.9229422287430148
0.67,-0.04169238916677233,0.020423759986600086,0.0255702596227725,0.5318162924979701,0.9229422287430148
0.675,-0.03905680698634908,0.020186607252270228,0.024197328342318608,0.5607233566663118,0.9229422287430148
0.68,-0.03635764024501651,0.019914545583148677,0.02278716609722051,0.5888845390898081,0.9229422287430148
0.685,-0.03359901199074807,0.019607980109497804,0.021341919538218707,0.6162569740171595,0.9229422287430148
0.6900000000000001,-0.03078513919843237,0.01926736927981618,0.01986379089142196,0.6427990388231897,0.9229422287430148
0.6950000000000001,-0.027920326325294845,0.018893224175948593,0.018355034604107156,0.6684704172712062,0.9229422287430148
0.7000000000000001,-0.025008958727922206,0.018486107746836098,0.016817953907688338,0.6932321607215095,0.9229422287430148
0.705,-0.02205549595095042,0.018046633962053693,0.01525489730309027,0.7170467471932132,0.9229422287430148
0.71,-0.01906446489767976,0.017575466886406512,0.013668254973884913,0.7398781381899071,0.9229422287430148
0.715,-0.016040452893082875,0.017073319676980125,0.012060455132672121,0.7616918332030636,0.9229422287430148
0.72,-0.01298810064982539,0.016540953504158067,0.010433960306282866,0.7824549218108627,0.9229422287430148
0.725,-0.00991209514808845,0.015979176398237798,0.008791263565489368,0.8021361332938433,0.9229422287430148
0.73,-0.006817162440106428,0.015388842023393568,0.007134884704987921,0.8207058836925651,0.9229422287430148
0.735,-0.0037080603904744375,0.014770848380844536,0.005467366379511161,0.8381363202365895,0.9229422287430148
0.74,-0.0005895713633699399,0.014126136443198819,0.0037912702019900933,0.8544013630780773,0.9229422287430148
0.745,0.0025335051320793736,0.013455688722047946,0.002109172809748643,0.8694767442675901,0.9229422287430148
0.75,0.005656359826963172,0.012760527770993815,0.0004236619047752253,0.8833400439138563,0.9229422287430148
0.755,0.008774181096935143,0.012041714626387564,-0.0012626677258481453,0.8959707234737382,0.9229422287430148
0.76,0.011882162374346406,0.011300347188156225,-0.0029472182032438546,0.9073501561230644,0.9229422287430148
0.765,0.014975509556739722,0.010537558543189964,-0.004627392557614732,0.9174616541634726,0.9229422287430148
0.77,0.018049448400293027,0.009754515233848715,-0.006300598730541319,0.9262904934250562,0.9229422287430148
0.775,0.02109923188681751,0.00895241547423235,-0.007964253572536955,0.9338239346292638,0.9229422287430148
0.78,0.02412014755293464,0.008132487316943932,-0.009615786829692071,0.9400512416811426,0.9229422287430148
0.785,0.027107524770123865,0.0072959867731492555,-0.011252645113259744,0.9449636968648345,0.9229422287430148
0.79,0.030056741964401428,0.0064441958888087035,-0.012872295846056448,0.9485546129209954,0.9229422287430148
0.795,0.032963233764463126,0.005578420780030404,-0.014472231179575227,0.9508193419895987,0.9229422287430148
0.8,0.03582249806724244,0.004699989630552608,-0.01604997187575761,0.9517552814064631,0.9229422287430148
0.805,0.03863010300995615,0.0038102506544269578,-0.017603071147420383,0.9513618763466678,0.9229422287430148
0.81,0.04138169383783352,0.002910570027024779,-0.019129118451385214,0.9496406193128941,0.9229422287430148
0.8150000000000001,0.044072999656893964,0.0020023297875441924,-0.020625743228435627,0.9465950464715776,0.9229422287430148
0.8200000000000001,0.04669984006130881,0.00108692571623653,-0.02209061858430336,0.9422307308446267,0.9229422287430148
0.8250000000000001,0.049258131625056496,0.000165765189610713,-0.023521464905965194,0.936555272369276,0.9229422287430148
0.8300000000000001,0.051743894247800716,-0.0007597349830860639,-0.02491605340763681,0.9295782848434777,0.9229422287430148
0.835,0.05415325734512735,-0.0016881507387872456,-0.02627220960094679,0.9213113797790142,0.9229422287430148
0.84,0.0564824658735219,-0.00261805295157633,-0.027587816683894272,0.9117681471892416,0.9229422287430148
0.845,0.05872788618070375,-0.003548009632333259,-0.028860818843306026,0.9009641333431075,0.9229422287430148
0.85,0.060886011672209646,-0.004476588133674029,-0.030089224465645714,0.8889168155217289,0.9229422287430148
0.855,0.06295346828539584,-0.005402357356790304,-0.03127110925116505,0.8756455738183624,0.9229422287430148
0.86,0.06492701976230962,-0.006323889956786928,-0.03240461922652568,0.8611716600272088,0.9229422287430148
0.865,0.06680357271319923,-0.007239764543120817,-0.03348797365118191,0.8455181636708822,0.9229422287430148
0.87,0.0685801814627392,-0.008148567871750747,-0.034519467812968066,0.8287099752207334,0.9229422287430148
0.875,0.07025405267138778,-0.009048897025614601,-0.035497475708508024,0.8107737465685878,0.9229422287430148
0.88,0.07182254972462339,-0.009939361580071677,-0.036420452604231594,0.7917378488125717,0.9229422287430148
0.885,0.0732831968831711,-0.010818585749969467,-0.037286937473969314,0.7716323274237933,0.9229422287430148
0.89,0.07463368318769226,-0.011685210515016723,-0.03809555530928361,0.7504888548647197,0.9229422287430148
0.895,0.07587186611177905,-0.01253789572018238,-0.03884501929888388,0.7283406807338568,0.9229422287430148
0.9,0.07699577495748683,-0.013375322147872643,-0.03953413287367648,0.7052225795151972,0.9229422287430148
0.905,0.07800361398803025,-0.014196193558685,-0.040161791614204585,0.6811707960144233,0.9229422287430148
0.91,0.07889376529266495,-0.014999238697579695,-0.040726985017439245,0.6562229885675048,0.9229422287430148
0.915,0.07966479137919295,-0.015783213262365606,-0.04122879812010168,0.6304181701105924,0.9229422287430148
