t_u,u,t_w,w,history
2.031991253458285,0.06515839551576401,7.4673006943763705,-0.10542501075407919,False
2.0977353069161486,0.0642479528051468,7.498455065947744,-0.1054264449320496,False
2.1656064761072464,0.06333751009452956,7.530198643260333,-0.10542787911002,False
2.2356735827896674,0.06242706738391235,7.562551513752801,-0.1054293132879904,False
2.308007675414804,0.06151662467329512,7.595534763849293,-0.1054307474659608,False
2.3826821011709143,0.0606061819626779,7.629170544746175,-0.10543218164393121,False
2.459772580357587,0.059695739252060676,7.663482143622621,-0.10543361582190161,False
2.5393572831665603,0.05878529654144345,7.698494060819113,-0.10543504999987202,False
2.6215169089467425,0.05787485383082623,7.734232093583342,-0.10543648417784242,False
2.706334768033847,0.05696441112020901,7.7707234270648025,-0.10543791835581282,False
2.793896866227505,0.05605396840959179,7.807996733313656,-0.10543935253378323,False
2.884291992001703,0.055143525698974565,7.846082279132044,-0.10544078671175362,False
2.9776118065367596,0.05423308298835734,7.885012043743999,-0.10544222088972403,False
3.0739509366643087,0.05332264027774012,7.924819847352862,-0.10544365506769443,False
3.173407070819473,0.0524121975671229,7.965541491821804,-0.10544508924566484,False
3.2760810580974677,0.051501754856505676,8.007214914842955,-0.10544652342363524,False
3.3820770105151983,0.050591312145888453,8.049880359178715,-0.10544795760160564,False
3.491502408581434,0.04968086943527123,8.093580558746446,-0.10544939177957605,False
3.604468210282654,0.04877042672465401,8.138360943588228,-0.10545082595754644,False
3.721088963595104,0.04785998401403679,8.1842698660456,-0.10545226013551685,False
3.8414829226371054,0.046949541303419565,8.231358850793622,-0.10545369431348725,False
3.9657721675794146,0.04603909859280234,8.279682871804708,-0.10545512849145766,False
4.094082728435195,0.04512865588218512,8.329300659741081,-0.10545656266942806,False
4.226544712855235,0.0442182131715679,8.380275043855798,-0.10545799684739846,False
4.363292438057808,0.043307770460950676,8.432673333095241,-0.10545943102536887,False
4.50446456702713,0.042397327750333454,8.486567741868878,-0.10546086520333926,False
4.650204249118417,0.04148688503971623,8.542035866864586,-0.10546229938130967,False
4.800659265212188,0.04057644232909901,8.599161222333832,-0.10546373355928007,False
