x_crossings,z_crossings,u_d,w_d,t,history
0.33709823898304275,-0.7954495240360917,0.23432810466958356,-0.0954218400922513,61.629849435102585,True
0.36043473826090083,-0.8752633762813506,0.20275977247411772,-0.09566086097505405,67.93322176739719,True
0.380617216103675,-0.9552368816073605,0.17543845038921288,-0.09586785212807412,74.23387389361598,True
0.3980726244315886,-1.0353488466930443,0.15194977048789965,-0.0960490161673068,80.53219308370687,True
0.4131854073026951,-1.11558248246595,0.13191980111104312,-0.09620891412233631,86.82849801360429,True
0.4263018319511648,-1.1959239853122272,0.11452897169957892,-0.09635172647333119,93.12307381851201,True
0.43768600680274866,-1.276362650385379,0.09955988446175237,-0.0964800031154717,99.41616123509648,True
0.4475799150036561,-1.356889360946267,0.08666366508145776,-0.09659597866339553,105.70796594766554,True
0.4561904872337291,-1.4374964368237293,0.07554124876896935,-0.09670144421200542,111.99866407307508,True
0.4636946584238254,-1.5181773287716605,0.06593831820893335,-0.09679785013454659,118.28840660006198,True
0.47024389173180936,-1.5989263868723438,0.057638285759036234,-0.09688638656654697,124.57732309970122,True
0.47596798382454264,-1.6797386879160714,0.050459683871960086,-0.09696803467491302,130.86552491428935,True
0.48097859525691233,-1.7606098997019006,0.044242602353816586,-0.09704362276643104,137.15310776985248,True
0.48537142239209186,-1.8415361853512526,0.03884203160223975,-0.09711385992870608,143.44015378030858,True
0.48922770011873035,-1.9225141283020335,0.03415360621869934,-0.09717932324375306,149.72673371762485,True
0.4926182546767884,-2.0035406504080626,0.030078347408641216,-0.09724051865074979,156.01290851306993,True
0.49560405081649844,-2.08461297115434,0.02653150766112021,-0.09729788177447735,162.29873063963853,True
0.4982376140168053,-2.165728566220882,0.02344380198298706,-0.0973517840963821,168.58424568926725,True
0.500564572544329,-2.2468851338600717,0.020749429074203657,-0.09740255831840458,174.86949296430743,True
0.5026240082967993,-2.3280805698163585,0.01839207282041029,-0.09745049879072593,181.15450606802088,True
0.5044494021901637,-2.409312942665428,0.01632871591362641,-0.09749585723702413,187.4393142534828,True
0.5060699572408318,-2.4905804754606855,0.014520033537650466,-0.09753884729767963,193.72394284715554,True
0.5075109671409755,-2.5718815192720723,0.012932197955921265,-0.09757966752014624,200.0084137544521,True
0.5087943634677816,-2.6532145469872384,0.011536106671676554,-0.09761850289427462,206.2927460257254,True
0.5099391859001382,-2.734578149207555,0.010306686322644918,-0.09765550040055815,212.57695618755614,True
0.5109619829989515,-2.8159710067542174,0.009222325123042677,-0.09769079813760403,218.86105855855396,True
0.5118771564398998,-2.897391887272112,0.008264380542081907,-0.09772453004533006,225.14506573484417,True
0.5126972562416133,-2.9788396479860304,0.007416755834011946,-0.09775680645720829,231.428988472324,True
0.5134332337570471,-3.0603132144452188,0.006665532060411099,-0.09778772200258765,237.7128363543867,True
0.5140946581583804,-3.141811576045286,0.005998672309278576,-0.09781739161782103,243.99661767789686,True
0.5146899033960352,-3.223333801438961,0.0054057534080081005,-0.09784585737590125,250.280339697753,True
0.5152263085267722,-3.3048789809519312,0.00487774121172084,-0.09787323344035341,256.56400880277005,True
0.5157103156913557,-3.386446288921576,0.004406781224772269,-0.09789957704654227,262.8476305740702,True
0.5161475872738605,-3.468034936989911,0.003986068715203847,-0.09792496329334008,269.13120986265073,True
0.5165431101514475,-3.54964418998058,0.003613471042001335,-0.09794942078320479,275.4147540428045,True
0.5169016595346252,-3.6312733693991333,0.0032758586930148824,-0.09797301705746539,281.69826497749386,True
0.5172267073586335,-3.712921781508627,0.0029726558057786767,-0.09799581339748493,287.98174561172783,True
0.5175216683848101,-3.7945887977346575,0.0027001840501610186,-0.09801784803012249,294.2651990918417,True
0.5177895923115865,-3.876273824013498,0.0024549947060115125,-0.09803916798754317,300.5486278973866,True
0.518033186535794,-3.9579762968421393,0.0022340617252585475,-0.09805979880248197,306.832034595037,True
0.5182548581413213,-4.0396956751567386,0.0020347345850057876,-0.09807978050605058,313.1154212107512,True
0.518456751148858,-4.121431444247155,,,,True
