z,u,beta,history,analytical
-5.806020066889632,-0.02429994530903898,1.04,True,False
-5.782608695652174,-0.024299938446524113,1.04,True,False
-5.759197324414716,-0.02429993114344727,1.04,True,False
-5.735785953177258,-0.024299923371525117,1.04,True,False
-5.7123745819398,-0.024299915100658567,1.04,True,False
-5.688963210702341,-0.02429990629881622,1.04,True,False
-5.665551839464883,-0.02429989693191032,1.04,True,False
-5.642140468227424,-0.024299886963664738,1.04,True,False
-5.618729096989966,-0.024299876355474464,1.04,True,False
-5.595317725752508,-0.024299865066256126,1.04,True,False
-5.5719063545150505,-0.02429985305228886,1.04,True,False
-5.5484949832775925,-0.024299840267044993,1.04,True,False
-5.525083612040134,-0.024299826661009865,1.04,True,False
-5.501672240802676,-0.024299812181490046,1.04,True,False
-5.478260869565218,-0.024299796772409284,1.04,True,False
-5.454849498327759,-0.024299780374091317,1.04,True,False
-5.431438127090301,-0.02429976292302877,1.04,True,False
-5.408026755852843,-0.02429974435163721,1.04,True,False
-5.384615384615385,-0.024299724587993385,1.04,True,False
-5.361204013377927,-0.024299703555556693,1.04,True,False
-5.337792642140468,-0.024299681172872754,1.04,True,False
-5.31438127090301,-0.02429965735325796,1.04,True,False
-5.290969899665551,-0.024299632004463747,1.04,True,False
-5.2675585284280935,-0.024299605028319363,1.04,True,False
-5.2441471571906355,-0.02429957632035164,1.04,True,False
-5.2207357859531776,-0.024299545769380426,1.04,True,False
-5.19732441471572,-0.024299513257087974,1.04,True,False
-5.173913043478261,-0.024299478657560745,1.04,True,False
-5.150501672240803,-0.02429944183680176,1.04,True,False
-5.127090301003345,-0.024299402652211657,1.04,True,False
-5.103678929765886,-0.024299360952036428,1.04,True,False
-5.080267558528428,-0.024299316574779725,1.04,True,False
-5.05685618729097,-0.024299269348577388,1.04,True,False
-5.033444816053512,-0.02429921909053188,1.04,True,False
-5.010033444816054,-0.02429916560600394,1.04,True,False
-4.986622073578595,-0.024299108687858794,1.04,True,False
-4.963210702341137,-0.024299048115663965,1.04,True,False
-4.9397993311036785,-0.024298983654835574,1.04,True,False
-4.916387959866221,-0.024298915055729856,1.04,True,False
-4.892976588628763,-0.024298842052676326,1.04,True,False
-4.869565217391305,-0.024298764362948904,1.04,True,False
-4.846153846153847,-0.024298681685670974,1.04,True,False
-4.822742474916389,-0.024298593700650132,1.04,True,False
-4.79933110367893,-0.024298500067138164,1.04,True,False
-4.775919732441472,-0.02429840042251139,1.04,True,False
-4.752508361204013,-0.024298294380866302,1.04,True,False
-4.729096989966555,-0.024298181531525024,1.04,True,False
-4.705685618729097,-0.024298061437444854,1.04,True,False
-4.682274247491639,-0.02429793363352567,1.04,True,False
-4.658862876254181,-0.024297797624808715,1.04,True,False
-4.635451505016722,-0.024297652884559692,1.04,True,False
-4.6120401337792645,-0.02429749885222886,1.04,True,False
-4.588628762541806,-0.02429733493128011,1.04,True,False
-4.565217391304348,-0.024297160486880718,1.04,True,False
-4.54180602006689,-0.024296974843442756,1.04,True,False
-4.518394648829432,-0.02429677728200669,1.04,True,False
-4.494983277591974,-0.024296567037456984,1.04,True,False
-4.471571906354516,-0.024296343295558957,1.04,True,False
-4.448160535117057,-0.024296105189805434,1.04,True,False
-4.424749163879599,-0.024295851798060927,1.04,True,False
-4.40133779264214,-0.024295582138990388,1.04,True,False
-4.377926421404682,-0.024295295168258707,1.04,True,False
-4.354515050167224,-0.024294989774486197,1.04,True,False
-4.331103678929766,-0.02429466477494447,1.04,True,False
-4.307692307692308,-0.02429431891097594,1.04,True,False
-4.2842809364548495,-0.02429395084311932,1.04,True,False
