z/h,u_d,depth
-0.9494949494949495,8.427233399366482e-06,1.0
-0.9595959595959596,7.89322831360381e-06,1.0
-0.9696969696969698,7.486569735150337e-06,1.0
-0.9797979797979799,7.2006967807304474e-06,1.0
-0.98989898989899,7.0309972788937356e-06,1.0
-1.0,6.974733358899302e-06,1.0
0.0,1.0132967586520956,0.4
-0.0101010101010101,0.9631371279752632,0.4
-0.0202020202020202,0.9154609205462125,0.4
-0.030303030303030304,0.8701452045430293,0.4
-0.0404040404040404,0.8270731346076194,0.4
-0.050505050505050504,0.7861336505630871,0.4
-0.06060606060606061,0.7472211910480485,0.4
-0.0707070707070707,0.7102354213294929,0.4
-0.0808080808080808,0.6750809745923655,0.4
-0.0909090909090909,0.6416672060387928,0.4
-0.10101010101010101,0.6099079591629023,0.4
-0.11111111111111112,0.5797213435985851,0.4
-0.12121212121212122,0.5510295239673811,0.4
-0.1313131313131313,0.5237585191820463,0.4
-0.1414141414141414,0.49783801168830144,0.4
-0.15151515151515152,0.47320116615290664,0.4
-0.1616161616161616,0.44978445713054604,0.4
-0.1717171717171717,0.42752750526517214,0.4
-0.1818181818181818,0.40637292160345556,0.4
-0.1919191919191919,0.38626615961890826,0.4
-0.20202020202020202,0.3671553745651285,0.4
-0.21212121212121213,0.3489912897955127,0.4
-0.22222222222222224,0.33172706970474436,0.4
-0.23232323232323232,0.3153181989644421,0.4
-0.24242424242424243,0.2997223677415792,0.4
-0.25252525252525254,0.2848993626037146,0.4
-0.2626262626262626,0.27081096282973605,0.4
-0.2727272727272727,0.2574208418587554,0.4
-0.2828282828282828,0.24469447362304686,0.4
-0.29292929292929293,0.23259904352350663,0.4
-0.30303030303030304,0.22110336381808987,0.4
-0.3131313131313131,0.2101777932050543,0.4
-0.3232323232323232,0.19979416039365885,0.4
-0.3333333333333333,0.1899256914652463,0.4
-0.3434343434343434,0.1805469408374119,0.4
-0.35353535353535354,0.17163372565325224,0.4
-0.3636363636363636,0.16316306342651699,0.4
-0.3737373737373737,0.15511311278188483,0.4
-0.3838383838383838,0.1474631171375631,0.4
-0.3939393939393939,0.14019335118499843,0.4
-0.40404040404040403,0.1332850700276977,0.4
-0.41414141414141414,0.12672046084801544,0.4
-0.42424242424242425,0.12048259697728125,0.4
-0.43434343434343436,0.11455539425083862,0.4
-0.4444444444444445,0.10892356953545809,0.4
-0.45454545454545453,0.10357260132218787,0.4
-0.46464646464646464,0.09848869228303286,0.4
-0.47474747474747475,0.09365873369491437,0.4
-0.48484848484848486,0.0890702716391793,0.4
-0.494949494949495,0.08471147488950505,0.4
-0.5050505050505051,0.0805711044053998,0.4
-0.5151515151515151,0.07663848435263808,0.4
-0.5252525252525252,0.07290347457590862,0.4
-0.5353535353535354,0.06935644445269588,0.4
-0.5454545454545454,0.06598824806097828,0.4
-0.5555555555555556,0.06279020059671356,0.4
-0.5656565656565656,0.059754055980304525,0.4
-0.5757575757575757,0.056871985594304106,0.4
-0.5858585858585859,0.05413655809753519,0.4
-0.5959595959595959,0.05154072026357673,0.4
-0.6060606060606061,0.04907777879420872,0.4
-0.6161616161616161,0.04674138306092219,0.4
-0.6262626262626262,0.044525508729994,0.4
-0.6363636363636364,0.042424442228903965,0.4
-0.6464646464646464,0.040432766014041305,0.4
-0.6565656565656566,0.03854534460171387,0.4
-0.6666666666666666,0.03675731132644112,0.4
-0.6767676767676767,0.03506405579238776,0.4
-0.6868686868686869,0.0334612119855818,0.4
-0.6969696969696969,0.031944647016264587,0.4
-0.7070707070707071,0.030510450462345455,0.4
-0.7171717171717171,0.029154924286483246,0.4
-0.7272727272727272,0.027874573300796287,0.4
-0.7373737373737373,0.026666096154614103,0.4
-0.7474747474747474,0.025526376822033375,0.4
-0.7575757575757576,0.02445247656732865,0.4
-0.7676767676767676,0.023441626367501165,0.4
-0.7777777777777777,0.022491219772427296,0.4
-0.7878787878787878,0.02159880618419684,0.4
-0.797979797979798,0.020762084538312044,0.4
-0.8080808080808081,0.019978897370454544,0.4
-0.8181818181818182,0.01924722525352145,0.4
-0.8282828282828283,0.018565181590586777,0.4
-0.8383838383838385,0.017931007750361858,0.4
-0.8484848484848485,0.017343068532611743,0.4
-0.8585858585858586,0.01679984795183527,0.4
-0.8686868686868687,0.016299945328337107,0.4
-0.8787878787878788,0.015842071676612744,0.4
-0.888888888888889,0.01542504638173392,0.4
-0.898989898989899,0.01504779415516474,0.4
-0.9090909090909091,0.014709342262158998,0.4
-0.9191919191919192,0.014408818013589744,0.4
-0.9292929292929293,0.014145446515743777,0.4
-0.9393939393939394,0.013918548672278989,0.4
-0.9494949494949495,0.013727539433192673,0.4
-0.9595959595959596,0.013571926286285776,0.4
-0.9696969696969697,0.013451307987233409,0.4
-0.9797979797979798,0.013365373524987123,0.4
-0.98989898989899,0.013313901319841252,0.4
-1.0,0.013296758652095602,0.4
