x,z,x_crossings,z_crossings,St,beta
0.034673218787100564,-1.4812701441331548,,,0.1714205741882324,0.83
0.034189130326322134,-1.5079605355279282,,,0.1714205741882324,0.83
0.033769171507226955,-1.5348137558068273,,,0.1714205741882324,0.83
0.03341128045804768,-1.5618308170446666,,,0.1714205741882324,0.83
0.03311324000481659,-1.5890125484233455,,,0.1714205741882324,0.83
0.032872695893569635,-1.6163595921174647,,,0.1714205741882324,0.83
0.03268717473073331,-1.6438724004702878,,,0.1714205741882324,0.83
0.032554101563214685,-1.6715512344040362,,,0.1714205741882324,0.83
0.03247081702599303,-1.6993961630047023,,,0.1714205741882324,0.83
0.03243459399136128,-1.727407064218342,,,0.1714205741882324,0.83
0.032442653660344455,-1.7555836265931317,,,0.1714205741882324,0.83
0.03249218104318685,-1.7839253519993559,,,0.1714205741882324,0.83
