x,z,shear,x_0,z_0,St,beta,history,shear_difference
0.4113069074252634,-0.2295328727235524,2.0717576334667878,0.113,-0.15,0.01,0.987,True,-0.01817
0.113,-0.15,1.8905144318859197,0.113,-0.15,0.1,0.987,True,0.4234
0.2498973592446094,-0.357622227911534,1.684610396686187,0.113,-0.15,0.1,0.987,True,0.4234
0.3457829889628789,-0.6178971532560805,2.2918077697284085,0.113,-0.15,0.1,0.987,True,0.4234
0.113,-0.15,2.897952570616504,0.113,-0.15,0.01,0.8,True,0.58796
0.2254767164152991,-0.6760647424527626,2.49542713492003,0.113,-0.15,0.01,0.8,True,0.58796
0.2730085972314209,-1.2263852065731349,4.342254123814116,0.113,-0.15,0.01,0.8,True,0.58796
0.113,-0.15,1.963299560996968,0.113,-0.15,0.01,0.9,True,0.13591
0.2451426438783037,-0.3908813946789524,1.6813195768036524,0.113,-0.15,0.01,0.9,True,0.13591
0.3346039066869192,-0.6467915337924731,2.3659933396676593,0.113,-0.15,0.01,0.9,True,0.13591
0.1,-0.2,1.5982323204706668,0.1,-0.2,0.01,0.987,False,-0.00546
0.2374260346751617,-0.2386425320378838,1.532427032299976,0.1,-0.2,0.01,0.987,False,-0.00546
0.3699459399151272,-0.2824328201602712,1.8532360276276816,0.1,-0.2,0.01,0.987,False,-0.00546
0.1,-0.2,2.2073416367276715,0.1,-0.2,0.1,0.987,False,0.51001
0.2144985530587615,-0.508538879474543,1.8601067653290444,0.1,-0.2,0.1,0.987,False,0.51001
0.2839515793993411,-0.8267413521749915,2.853891794919354,0.1,-0.2,0.1,0.987,False,0.51001
0.1,-0.2,3.5150940445754246,0.1,-0.2,0.01,0.8,False,0.66798
0.1965332488789351,-0.8047048027592846,2.8974585233194023,0.1,-0.2,0.01,0.8,False,0.66798
0.2336506329736818,-1.389131190649921,5.397209633568669,0.1,-0.2,0.01,0.8,False,0.66798
0.1,-0.2,2.0984932569977217,0.1,-0.2,0.01,0.9,False,0.1645
0.2166158795999083,-0.4758791903648227,1.7507953503101845,0.1,-0.2,0.01,0.9,False,0.1645
0.2919789472413228,-0.7465212414093734,2.6007927397446218,0.1,-0.2,0.01,0.9,False,0.1645
0.1,-0.2,1.5950789042110116,0.1,-0.2,0.01,0.987,True,-0.00546
0.2380074432101573,-0.2341539178914412,1.5361192275607725,0.1,-0.2,0.01,0.987,True,-0.00546
0.3717961746457652,-0.2759407744202012,1.8586965920172662,0.1,-0.2,0.01,0.987,True,-0.00546
0.1,-0.2,1.8905227574569117,0.1,-0.2,0.1,0.987,True,0.51001
0.2247013288029525,-0.405661227025912,1.7130575828184096,0.1,-0.2,0.1,0.987,True,0.51001
0.3118179776014256,-0.6642985932425205,2.3438845102476855,0.1,-0.2,0.1,0.987,True,0.51001
0.1,-0.2,3.095180928879584,0.1,-0.2,0.01,0.8,True,0.66798
0.2022464866455991,-0.7233009411416943,2.677118048608403,0.1,-0.2,0.01,0.8,True,0.66798
0.2453439688972264,-1.2723706666889671,4.729224990876032,0.1,-0.2,0.01,0.8,True,0.66798
0.1,-0.2,1.983137870776431,0.1,-0.2,0.01,0.9,True,0.1645
0.2203545858904675,-0.438831871372888,1.7124353918275952,0.1,-0.2,0.01,0.9,True,0.1645
0.301636646578351,-0.6932003507844152,2.436292558021427,0.1,-0.2,0.01,0.9,True,0.1645
0.113,-0.25,1.5360484714399552,0.113,-0.25,0.01,0.987,False,0.0003
0.238613024195322,-0.2880314579391635,1.4954037494309163,0.113,-0.25,0.01,0.987,False,0.0003
0.3595932074100848,-0.3304756616889686,1.723001397714984,0.113,-0.25,0.01,0.987,False,0.0003
0.113,-0.25,2.148785354609269,0.113,-0.25,0.1,0.987,False,0.51713
0.2179561199939733,-0.55674711248384,1.8552886943136426,0.113,-0.25,0.1,0.987,False,0.51713
0.2816260778364812,-0.8736300016172319,2.824588006224965,0.113,-0.25,0.1,0.987,False,0.51713
0.113,-0.25,3.4086727430058046,0.113,-0.25,0.01,0.8,False,0.64042
0.2019282601032756,-0.8520365577824142,2.8664867563291576,0.113,-0.25,0.01,0.8,False,0.64042
0.2362178176739182,-1.4351994839077835,5.313075368557677,0.113,-0.25,0.01,0.8,False,0.64042
0.113,-0.25,2.04220858622954,0.113,-0.25,0.01,0.9,False,0.167
0.219887666900275,-0.5242676753860918,1.7451605240478538,0.113,-0.25,0.01,0.9,False,0.167
0.2889083120199556,-0.7936314913292631,2.568642543239754,0.113,-0.25,0.01,0.9,False,0.167
0.113,-0.25,1.5317817355634173,0.113,-0.25,0.01,0.987,True,0.0003
0.2391389571424798,-0.2835678652878832,1.4969245069399466,0.113,-0.25,0.01,0.987,True,0.0003
0.3612729712026349,-0.3240041323866156,1.722697728451092,0.113,-0.25,0.01,0.987,True,0.0003
0.113,-0.25,1.837269743250144,0.113,-0.25,0.1,0.987,True,0.51713
0.2271742820227546,-0.4543582025159985,1.7064388804415045,0.113,-0.25,0.1,0.987,True,0.51713
0.3069086640191611,-0.7116329024691299,2.307458605554221,0.113,-0.25,0.1,0.987,True,0.51713
0.113,-0.25,3.00868893582683,0.113,-0.25,0.01,0.8,True,0.64042
0.2070531850366793,-0.7709040203333102,2.6581385404056097,0.113,-0.25,0.01,0.8,True,0.64042
0.2467873912633087,-1.318669651832279,4.672655133993647,0.113,-0.25,0.01,0.8,True,0.64042
0.113,-0.25,1.928907298564324,0.113,-0.25,0.01,0.9,True,0.167
0.223259261101387,-0.4873870850251912,1.7062091106797803,0.113,-0.25,0.01,0.9,True,0.167
0.2976645772192954,-0.7404694142974548,2.401644996827067,0.113,-0.25,0.01,0.9,True,0.167
0.15,-0.287,1.502546622379338,0.15,-0.287,0.01,0.987,False,0.00172
0.2678187443072063,-0.3252078106094448,1.4754680265928566,0.15,-0.287,0.01,0.987,False,0.00172
0.3813252415447187,-0.3672576823939592,1.6503786250364918,0.15,-0.287,0.01,0.987,False,0.00172
0.15,-0.287,1.9966243855333987,0.15,-0.287,0.1,0.987,False,0.44329
0.2492787989490648,-0.5928445979572121,1.7849799473129684,0.15,-0.287,0.1,0.987,False,0.44329
0.3096115984584967,-0.908838121643757,2.625750640785998,0.15,-0.287,0.1,0.987,False,0.44329
0.15,-0.287,3.013694550423645,0.15,-0.287,0.01,0.8,False,0.52758
0.2349927302241355,-0.887218482810331,2.611173293963972,0.15,-0.287,0.01,0.8,False,0.52758
0.2680109982637135,-1.4693468594853265,4.722551413043672,0.15,-0.287,0.01,0.8,False,0.52758
0.15,-0.287,1.9107294436231,0.15,-0.287,0.01,0.9,False,0.14292
0.2509922882132262,-0.5604787894090751,1.6927638494149577,0.15,-0.287,0.01,0.9,False,0.14292
0.316263106043526,-0.8290364714863377,2.4048236913337138,0.15,-0.287,0.01,0.9,False,0.14292
0.15,-0.287,1.4989451652369028,0.15,-0.287,0.01,0.987,True,0.00172
0.2682976171572114,-0.3207673853219469,1.476252557380287,0.15,-0.287,0.01,0.987,True,0.00172
0.382879231818613,-0.360814910441622,1.6486622018053645,0.15,-0.287,0.01,0.987,True,0.00172
0.15,-0.287,1.7468474853164764,0.15,-0.287,0.1,0.987,True,0.44329
0.2576147261796883,-0.4908765416640633,1.6627600405205794,0.15,-0.287,0.1,0.987,True,0.44329
0.3329229303986901,-0.7473235990186657,2.182455900516595,0.15,-0.287,0.1,0.987,True,0.44329
0.15,-0.287,2.6925367584348567,0.15,-0.287,0.01,0.8,True,0.52758
0.2396168696495311,-0.8063448888193924,2.447358610848135,0.15,-0.287,0.01,0.8,True,0.52758
0.277740814065804,-1.3530618767728115,4.194970191719662,0.15,-0.287,0.01,0.8,True,0.52758
0.15,-0.287,1.8200212445045323,0.15,-0.287,0.01,0.9,True,0.14292
0.2540517891357285,-0.5237533867887516,1.6610748589685915,0.15,-0.287,0.01,0.9,True,0.14292
0.3243454173352895,-0.7760524400346688,2.2619015737003902,0.15,-0.287,0.01,0.9,True,0.14292
0.2,-0.3,1.4892680754238914,0.2,-0.3,0.01,0.987,False,0.00116
0.3157120538721201,-0.3390206643232291,1.4678617724199532,0.2,-0.3,0.01,0.987,False,0.00116
0.4273543172741454,-0.3815597961072675,1.6222927207732216,0.2,-0.3,0.01,0.987,False,0.00116
0.2,-0.3,1.8540453148027882,0.2,-0.3,0.1,0.987,False,0.34815
0.2986006365584503,-0.6059399900147755,1.7020512633668747,0.2,-0.3,0.1,0.987,False,0.34815
0.3586709207026171,-0.9216321869861234,2.391499308134169,0.2,-0.3,0.1,0.987,False,0.34815
0.2,-0.3,2.6192994300156,0.2,-0.3,0.01,0.8,False,0.41217
0.2854229366715967,-0.89958961131728,2.325955040463193,0.2,-0.3,0.01,0.8,False,0.41217
0.3189056017229528,-1.481136419728757,4.050561506128996,0.2,-0.3,0.01,0.8,False,0.41217
0.2,-0.3,1.7902828686190064,0.2,-0.3,0.01,0.9,False,0.11187
0.3001201994399148,-0.5736002458311837,1.6318871445835916,0.2,-0.3,0.01,0.9,False,0.11187
0.3649550446001802,-0.8419538880609443,2.2158733159171726,0.2,-0.3,0.01,0.9,False,0.11187
0.2,-0.3,1.4865822758326899,0.2,-0.3,0.01,0.987,True,0.00116
0.3161637499699646,-0.3345958429569656,1.4686008874249428,0.2,-0.3,0.01,0.987,True,0.00116
0.4288551065934509,-0.3751444412287614,1.621132109870542,0.2,-0.3,0.01,0.987,True,0.00116
0.2,-0.3,1.670294136854788,0.2,-0.3,0.1,0.987,True,0.34815
0.306373622381026,-0.5042265711799345,1.611955669452491,0.2,-0.3,0.1,0.987,True,0.34815
