t,x,z,xdot,zdot,x_crossings,z_crossings
2.13,0.13766299377147162,-0.22070006123879737,0.792002766449335,-0.2225046938421834,,
2.1350000000000002,0.1416020141157744,-0.22192246920049977,0.7831888578825276,-0.266251526849129,,
2.14,0.14549046307144572,-0.2233621277515569,0.7717874989858516,-0.3093807839412476,,
2.145,0.14931550664761273,-0.2250155681975042,0.7578414034175216,-0.35174097636774176,,
2.15,0.1530645468910469,-0.22687857134235576,0.7414022194508516,-0.3931834735547324,,
2.1550000000000002,0.15672526609422127,-0.2289461830880146,0.7225303392455388,-0.4335630232021629,,
2.16,0.16028566997277185,-0.23121273260410324,0.7012946775360991,-0.4727382591510211,,
2.165,0.16373412966137849,-0.23367185300285848,0.677772420540445,-0.5105721952556059,,
2.17,0.16705942238141197,-0.2363165044447224,0.6520487459858552,-0.5469327035606089,,
2.1750000000000003,0.17025077063837366,-0.23913899959203883,0.6242165152580076,-0.5816929751029483,,
2.18,0.17329787981248312,-0.24213103131982053,0.59437593876784,-0.6147319617796217,,
2.185,0.17619097401142542,-0.24528370258527352,0.5626342157305094,-0.6459347976947653,,
2.19,0.17892083006051138,-0.24858755834944868,0.5291051496339175,-0.6751931985650177,,
2.195,0.18147880951206602,-0.2520326194381059,0.49390874076466224,-0.7024058377691081,,
2.2,0.1838568885629398,-0.2556084182214905,0.45717075723312306,-0.727478697724441,,
2.205,0.1860476857763968,-0.25930403598656615,0.4190222860210471,-0.7503253953769393,,
2.21,0.18804448751247071,-0.2631081418694512,0.37959926563839286,-0.7708674806482402,,
2.215,0.189841270978934,-0.26700903321007646,0.3390420020471282,-0.7890347068182411,,
2.22,0.19143272482350687,-0.27099467718646497,0.29749466956175674,-0.8047652718357288,,
2.225,0.19281426719657282,-0.2750527535807863,0.2551047984964125,-0.8180060298024554,,
2.23,0.19398206122268324,-0.27917069852669296,0.21202275136748464,-0.828712671773926,,
2.235,0.19493302782823255,-0.2833357490821678,0.16840118950843097,-0.8368498753365741,,
2.24,0.19566485588210597,-0.28753498847107223,0.12439453198064207,-0.8423914223519845,,
2.245,0.19617600961554651,-0.29175539183256394,0.08015840869753102,-0.845320284531052,,
2.25,0.19646573329716946,-0.2959838723172578,0.03584910969363804,-0.8456286764471124,,
2.255,0.19653405314870961,-0.3002073273662356,-0.00837696751001856,-0.8433180759030618,,
2.2600000000000002,0.19638177649690086,-0.3044126850100989,-0.05236387049252623,-0.8383992114671756,,
2.265,0.19601048816660935,-0.30858695002323705,-0.0959566425135912,-0.8308920173475208,,
2.27,0.19542254413015842,-0.31271724977116766,-0.13900186914426013,-0.8208255556522209,,
2.275,0.19462106243742378,-0.31679087958774127,-0.18134821901114936,-0.8082379064189315,,
2.2800000000000002,0.19360991146095868,-0.3207953475227152,-0.22284697674614273,-0.7931760257083584,,
2.285,0.19239369549983193,-0.3247184183005696,-0.26335256625383546,-0.7756955723977758,,
2.29,0.19097773779526706,-0.3285481563363653,-0.30272306245229075,-0.7558607041476367,,
2.295,0.18936806102023704,-0.3322729676553541,-0.340820689675276,-0.7337438434436179,,
2.3000000000000003,0.18757136531416876,-0.3358816405698665,-0.37751230498139776,-0.7094254143919215,,
2.305,0.18559500394248993,-0.33936338496847257,-0.4126698646608136,-0.6829935513733237,,
2.31,0.18344695666920963,-0.34270787008036163,-0.4461708722999345,-0.6545437804611355,,
2.315,0.1811358009386961,-0.34590526058060855,-0.4778988068217119,-0.6241786748826276,,
2.32,0.1786706809706109,-0.34894625091052056,-0.5077435290007031,-0.5920074856581818,,
2.325,0.17606127487920736,-0.351822097691488,-0.5356016650203408,-0.5581457488343586,,
2.33,0.1733177599352219,-0.35452465011943485,-0.5613769657319071,-0.5227148706510599,,
2.335,0.17045077609500858,-0.357046378232733,-0.5849806403526447,-0.48584169223035906,,
2.34,0.16747138792771607,-0.3593803989556718,-0.6063316634427877,-0.44765803523099007,,
2.345,0.16439104507679886,-0.3615204998256228,-0.6253570540866568,-0.40830023024262213,,
2.35,0.1612215413973523,-0.36346116032272124,-0.6419921263139905,-0.36790862949701353,,
2.355,0.15797497291524848,-0.3651975707271814,-0.6561807098905076,-0.32662710573979215,,
2.36,0.1546636947582105,-0.3667256484402131,-0.6678753407234845,-0.2846025389989054,,
2.365,0.15130027721239303,-0.36804205171213944,-0.6770374202275805,-0.24198429313276953,,
2.37,0.14789746106109672,-0.369144190731627,-0.6836373431167672,-0.1989236840248031,,
2.375,0.14446811236457097,-0.37003023603889396,-0.6876545931928574,-0.15557344134933507,,
2.38,0.14102517684177707,-0.37069912423568635,-0.6890778068247011,-0.11208716578055647,,
2.3850000000000002,0.13758163401616613,-0.3711505609738061,-0.6879048039186095,-0.06861878368877239,,
2.39,0.13415045128829234,-0.3713850212150976,-0.6841425863064805,-0.025322001174430064,,
2.395,0.1307445380980945,-0.37140374676380356,-0.6778073035855366,0.017650240543576584,,
2.4,0.1273767003392792,-0.3712087410834497,-0.6689241865681888,0.06014630646515706,,
2.4050000000000002,0.12405959518709914,-0.3708027614192292,-0.6575274486085787,0.10201640393066826,,
2.41,0.12080568649925165,-0.3701893082568622,-0.6436601551940104,0.14311311163173465,,
2.415,0.11762720094734919,-0.3693726121581268,-0.627374062295506,0.1832918996017173,,
2.42,0.11453608503370945,-0.36835761802296635,-0.6087294240898456,0.22241163838319994,,
2.4250000000000003,0.11154396314483095,-0.3671499668365727,-0.5877947707667969,0.2603350954949618,,
2.43,0.10866209678913248,-0.36575597496979706,-0.5646466572490483,0.2969294175341427,,
2.435,0.10590134516208724,-0.3641826111084296,-0.5393693837472658,0.3320665961097762,,
2.44,0.1032721271770721,-0.3624374708969907,-0.5120546891800395,0.3656239160569299,,
2.445,0.10078438509480964,-0.36052874938898083,-0.48280141857633924,0.3974843842683449,,
2.45,0.09844754987851317,-0.35846521140489335,-0.45171516567701614,0.42753713771510127,,
2.455,0.09627050839549228,-0.3562561599051273,-0.41890789203177176,0.4556778291819934,,
2.46,0.09426157257933387,-0.3539114024930082,-0.38449752397615594,0.48180898937065286,,
2.465,0.09242845065961375,-0.35144121616917956,-0.34860752894516966,0.505840364154692,,
2.47,0.09077822055866405,-0.34885631046437227,-0.31136647265563533,0.5276892257612859,,
2.475,0.08931730554706502,-0.34616778908400236,-0.2729075587522711,0.5472806568718727,,
2.48,0.08805145224142422,-0.3433871102020665,-0.23336815257485155,0.5645478066097145,,
2.485,0.08698571101956445,-0.34052604554753324,-0.19288929075612532,0.5794321176016914,,
2.49,0.08612441891958336,-0.33759663842943205,-0.15161517840929561,0.5918835233033997,,
2.495,0.0854711850803375,-0.33461116085134884,-0.10969267570408156,0.6018606149863757,,
2.5,0.08502887877182677,-0.33158206986808186,-0.06727077566583667,0.6093307777766367,,
2.505,0.08479962005470368,-0.3285219633407495,-0.024500075060406242,0.6142702953964246,,
2.5100000000000002,0.08478477309876353,-0.3254435352471564,0.01846775975211064,0.6166644232013284,,
2.515,0.08498494218082014,-0.3223595307070852,0.06148053009531984,0.6165074293930513,,
2.52,0.0853999703728437,-0.31928270088133476,0.10438604348110364,0.6138026042480943,,
2.525,0.08602894092171905,-0.3162257579049081,0.14703265143263056,0.6085622374453967,,
2.5300000000000002,0.08687018131243965,-0.3132013300131415,0.18926978472560904,0.6008075635716651,,
2.535,0.08792126999709483,-0.3102219170196988,0.23094848415789726,0.5905686761373988,,
2.54,0.0891790457625886,-0.3072998463025153,0.2719219249798695,0.5778844103592979,,
2.545,0.09063961970077139,-0.3044472294533804,0.31204593314036155,0.5628021952900889,,
2.5500000000000003,0.09229838973549634,-0.30167591974229274,0.35117949153859473,0.545377875801545,,
2.555,0.0941500576521802,-0.29899747054621334,0.38918523450916137,0.5256755051383034,,
2.56,0.09618864856667811,-0.2964230948871272,0.4259299288127445,0.5037671088139072,,
2.565,0.09840753276177791,-0.29396362622066274,0.46128493945598775,0.47973242075875605,,
2.57,0.10079944981137358,-0.2916294806114459,0.49512667872036664,0.45365859267086456,,
2.575,0.10335653490443039,-0.28943062042671286,0.5273370368426825,0.4256398776393865,,
2.58,0.10607034727323696,-0.28737651967389377,0.5578037928549417,0.3957772892709236,,
2.585,0.10893190062314637,-0.2854761311012457,0.5864210041678345,0.3641782374303803,,
2.59,0.1119316954541441,-0.28373785517592864,0.6130893735545634,0.33095614202833007,,
2.595,0.11505975315803756,-0.2821695110450453,0.637716592276039,0.29623002620037353,,
2.6,0.11830565176900217,-0.2807783095795006,0.6602176581742868,0.2601240903379498,,
2.605,0.12165856323957083,-0.27957082859253873,0.680515167648654,0.2227672684665223,,
2.61,0.12510729210895027,-0.27855299031740344,0.6985395805235795,0.18429276864801197,,
2.615,0.12864031542583998,-0.27773004121943273,0.7142294569137755,0.14483759885146968,,
2.62,0.13224582378370783,-0.27710653421212095,0.7275316652888983,0.10454208021074714,,
2.625,0.1359117633227254,-0.2766863133344277,0.7384015610450758,0.06354934910498879,,
2.63,0.13962587854938507,-0.276472500942636,0.7468031349903436,0.022004850113478552,,
2.6350000000000002,0.1433757558220939,-0.276467487455976,0.7527091312605543,-0.019944178700154344,,
2.64,0.1471488673489158,-0.2766729236919736,0.7561011342854845,-0.062149226043163495,,
2.645,0.15093261554197787,-0.27708971581248315,0.756969624536184,-0.10446103170114282,,
2.65,0.1547143775720059,-0.27771802289829,0.7553140028916391,-0.14673011279471254,,
2.6550000000000002,0.1584815499659043,-0.2785572571554883,0.7511425835707731,-0.18880729032945917,,
2.66,0.162221593090297,-0.2796060867518916,0.7444725556901888,-0.2305442141277455,,
2.665,0.16592207536454706,-0.2808624412700751,0.7353299136092721,-0.2717938843732689,,
2.67,0.1695707170478071,-0.28232351975598696,0.7237493563406374,-0.3124111678883955,,
2.6750000000000003,0.17315543344636428,-0.28398580133186174,0.7097741564041179,-0.35225330743297417,,
2.68,0.17666437738965213,-0.2858450583346161,0.693455998614772,-0.39118042220011306,,
2.685,0.18008598082605923,-0.28789637193091483,0.6748547893934069,-0.4290559978137622,,
2.69,0.18340899539282282,-0.290134150152448,0.6540384372962152,-0.465747364075754,,
2.695,0.18662253181806962,-0.2925521482856658,0.6310826055549318,-0.5011261588834504,,
2.7,0.18971609801723255,-0.29514349154323916,0.6060704375203213,-0.5350687766242137,,
2.705,0.19267963575080319,-0.297900699935156,0.5790922559916131,-0.5674567995559928,,
2.71,0.19550355571549344,-0.30081571525108003,0.5502452375098038,-0.5981774106124654,,
2.715,0.19817877094651898,-0.30387993005704333,0.5196330627754022,-0.6271237862745608,,
2.72,0.20069672841470043,-0.3070842186038331,0.4873655444382947,-0.6541954680532753,,
2.725,0.2030494387085435,-0.3104189695362892,0.4535582335823137,-0.6792987113556942,,
2.73,0.20522950369823412,-0.31387412028783146,0.41833200630577494,-0.7023468104737353,,
2.735,0.20723014208569548,-0.31743919303761114,0.3818126318639079,-0.7232603985936008,,
2.74,0.2090452127523159,-0.32110333210296593,0.3441303239085135,-0.7419677217273891,,
2.745,0.2106692358238168,-0.3248553426340497,0.3054192764148187,-0.7584048856957698,,
2.75,0.2120974113797852,-0.32868373047418825,0.2658171859429822,-0.7725160751948468,,
2.755,0.21332563574378272,-0.3325767430437658,0.22546476192525958,-0.7842537442261797,,
2.7600000000000002,0.21435051529847746,-0.3365224111031672,0.1845052267180601,-0.7935787772746358,,
