z_bar,u_bar,St,beta,history
-5.585284280936454,0.005008052004110447,0.01,0.99,True
-5.618729096989966,0.005007140131223704,0.01,0.99,True
-5.652173913043478,0.005006287502777575,0.01,0.99,True
-5.68561872909699,0.00500549026965691,0.01,0.99,True
-5.719063545150502,0.00500474483282382,0.01,0.99,True
-5.752508361204013,0.005004047827070139,0.01,0.99,True
-5.785953177257525,0.005003396105825498,0.01,0.99,True
-5.8193979933110365,0.005002786726952404,0.01,0.99,True
-5.852842809364549,0.005002216939464232,0.01,0.99,True
-5.88628762541806,0.0050016841711061355,0.01,0.99,True
-5.919732441471572,0.0050011860167428306,0.01,0.99,True
-5.953177257525083,0.005000720227500829,0.01,0.99,True
-5.986622073578595,0.005000284700616101,0.01,0.99,True
-6.020066889632107,0.004999877469941332,0.01,0.99,True
-6.053511705685619,0.0049994966970699235,0.01,0.99,True
-6.08695652173913,0.004999140663036675,0.01,0.99,True
-6.120401337792642,0.004998807760557666,0.01,0.99,True
-6.153846153846153,0.004998496486774318,0.01,0.99,True
-6.187290969899665,0.004998205436468869,0.01,0.99,True
-6.220735785953177,0.004997933295720649,0.01,0.99,True
-6.254180602006689,0.004997678835974497,0.01,0.99,True
-6.2876254180602,0.004997440908494562,0.01,0.99,True
-6.321070234113712,0.004997218439178435,0.01,0.99,True
-6.354515050167223,0.004997010423708211,0.01,0.99,True
-6.3879598662207355,0.004996815923016583,0.01,0.99,True
-6.421404682274247,0.004996634059047511,0.01,0.99,True
-6.454849498327759,0.004996464010792307,0.01,0.99,True
-6.488294314381271,0.004996305010583278,0.01,0.99,True
-6.521739130434782,0.0049961563406281445,0.01,0.99,True
-6.555183946488294,0.004996017329769642,0.01,0.99,True
-6.588628762541806,0.004995887350455636,0.01,0.99,True
-6.622073578595318,0.004995765815906094,0.01,0.99,True
-6.655518394648829,0.00499565217746412,0.01,0.99,True
-6.688963210702341,0.004995545922119095,0.01,0.99,True
-6.722408026755852,0.00499544657019073,0.01,0.99,True
-6.7558528428093645,0.004995353673163597,0.01,0.99,True
-6.789297658862876,0.004995266811662343,0.01,0.99,True
-6.822742474916388,0.004995185593558462,0.01,0.99,True
-6.856187290969899,0.00499510965220006,0.01,0.99,True
-6.889632107023411,0.00499503864475664,0.01,0.99,True
-6.9230769230769225,0.004994972250671426,0.01,0.99,True
-6.956521739130435,0.004994910170214236,0.01,0.99,True
-6.989966555183946,0.004994852123128377,0.01,0.99,True
-7.023411371237458,0.004994797847365453,0.01,0.99,True
-7.056856187290969,0.0049947470979023675,0.01,0.99,True
-7.090301003344481,0.004994699645635191,0.01,0.99,True
-7.123745819397993,0.004994655276344892,0.01,0.99,True
-7.157190635451505,0.004994613789730262,0.01,0.99,True
-7.190635451505017,0.004994574998503676,0.01,0.99,True
-7.224080267558528,0.004994538727545599,0.01,0.99,True
-7.25752508361204,0.004994504813114021,0.01,0.99,True
-7.290969899665551,0.004994473102105264,0.01,0.99,True
-7.3244147157190636,0.004994443451362802,0.01,0.99,True
-7.357859531772575,0.004994415727031002,0.01,0.99,True
-7.391304347826087,0.0049943898039508374,0.01,0.99,True
-7.424749163879598,0.004994365565094873,0.01,0.99,True
-7.45819397993311,0.004994342901038954,0.01,0.99,True
-7.4916387959866215,0.004994321709468218,0.01,0.99,True
-7.525083612040134,0.004994301894715208,0.01,0.99,True
-7.558528428093645,0.004994283367327986,0.01,0.99,True
-7.591973244147157,0.004994266043666315,0.01,0.99,True
-7.625418060200668,0.004994249845524066,0.01,0.99,True
-7.65886287625418,0.0049942346997761695,0.01,0.99,True
-7.692307692307692,0.004994220538048497,0.01,0.99,True
-7.725752508361204,0.00499420729640919,0.01,0.99,True
-7.759197324414715,0.004994194915080048,0.01,0.99,True
-7.792642140468227,0.004994183338166664,0.01,0.99,True
-7.826086956521738,0.0049941725134060935,0.01,0.99,True
-7.8595317725752505,0.004994162391930919,0.01,0.99,True
-7.892976588628763,0.004994152928048644,0.01,0.99,True
-7.926421404682274,0.0049941440790354135,0.01,0.99,True
-7.959866220735786,0.004994135804943148,0.01,0.99,True
-7.993311036789297,0.004994128068419193,0.01,0.99,True
-8.02675585284281,0.004994120834537701,0.01,0.99,True
-8.060200668896321,0.004994114070641959,0.01,0.99,True
-8.093645484949832,0.004994107746196963,0.01,0.99,True
-8.127090301003344,0.004994101832651568,0.01,0.99,True
-8.160535117056856,0.004994096303309601,0.01,0.99,True
-8.193979933110368,0.004994091133209341,0.01,0.99,True
-8.227424749163879,0.00499408629901083,0.01,0.99,True
-8.26086956521739,0.004994081778890509,0.01,0.99,True
-8.294314381270903,0.0049940775524427,0.01,0.99,True
-8.327759197324415,0.004994073600587479,0.01,0.99,True
-8.361204013377925,0.004994069905484548,0.01,0.99,True
-8.394648829431437,0.0049940664504526935,0.01,0.99,True
-8.42809364548495,0.004994063219894483,0.01,0.99,True
-8.461538461538462,0.004994060199225849,0.01,0.99,True
-8.494983277591972,0.004994057374810253,0.01,0.99,True
-8.528428093645484,0.0049940547338971205,0.01,0.99,True
-8.561872909698996,0.004994052264564286,0.01,0.99,True
-8.595317725752508,0.004994049955664166,0.01,0.99,True
-8.62876254180602,0.004994047796773437,0.01,0.99,True
-8.66220735785953,0.004994045778145978,0.01,0.99,True
-8.695652173913043,0.004994043890668876,0.01,0.99,True
-8.729096989966555,0.004994042125821285,0.01,0.99,True
-8.762541806020067,0.004994040475635955,0.01,0.99,True
-8.795986622073578,0.004994038932663273,0.01,0.99,True
-8.82943143812709,0.004994037489937627,0.01,0.99,True
-8.862876254180602,0.004994036140945959,0.01,0.99,True
-8.896321070234114,0.004994034879598369,0.01,0.99,True
