force,A,delta,phi,offset,R^2,St,method
history_force,0.11617971587318121,-0.3404260921056218,2.252357778106624,0.0003103947465787128,0.8172099443978579,0.85,curve_fit
xdot,1.0985095542174135,-0.5927393032724355,6.2828538553233875,0.0056916076818677675,0.9804348386551202,0.85,curve_fit
inertial_force,0.3716666409188203,-0.3497183940273924,5.941561806574609,-9.409269678841781e-05,0.8258792846891334,0.9,curve_fit
stokes_drag,0.017480625030646107,-0.35949417794424937,1.4839127428524166,-0.000445841658486842,0.8300107501984197,0.9,curve_fit
history_force,0.11542981650536023,-0.3450411905014632,2.24941912680928,0.00030820337714965396,0.8136361392104269,0.9,curve_fit
xdot,1.1004458614206385,-0.6041424023108491,0.0,0.0056221267074695585,0.9800326974456853,0.9,curve_fit
inertial_force,0.3763790436993248,-0.3541133465076038,5.945761863495918,-0.00011313010134153084,0.8228345804333793,0.95,curve_fit
stokes_drag,0.016912019911947813,-0.3641309798170158,1.4816069570769206,-0.00043187809723705886,0.8271716606368144,0.95,curve_fit
history_force,0.11466439942145779,-0.34936006431492433,2.2460035997396948,0.0003059299941658409,0.8103292334954785,0.95,curve_fit
xdot,1.10222118230335,-0.6147997193849839,6.282894673690782,0.005559926926204325,0.9796537835086713,0.95,curve_fit
inertial_force,0.3807800193079364,-0.3582025118332377,5.950198943731553,-0.000130885859726894,0.8200003775897196,1.0,curve_fit
stokes_drag,0.016382045776905028,-0.36848983248665856,1.48001420006883,-0.0004188664898604211,0.8245466961222844,1.0,curve_fit
history_force,0.11389131841432842,-0.3534229590741624,2.2433471543364756,0.00030361903555585056,0.8072525235140542,1.0,curve_fit
xdot,1.1038561563179388,-0.624789875988143,0.0,0.0055039032540594455,0.9792961560222916,1.0,curve_fit
