x,z,shear,x_0,z_0,St,beta,history
0.4385057759301015,-1.608971594803061,2.0668134221798873,0.3,-0.2,0.01,0.77,False
0.4519705558805036,-2.2875194000470502,2.0410129806410886,0.3,-0.2,0.01,0.77,False
0.4578646163012956,-2.9604198732192883,6.252744654696104,0.3,-0.2,0.01,0.77,False
0.3,-0.2,2.2957005235014507,0.3,-0.2,0.01,0.78,False
0.4046774051013899,-0.8791456273850847,2.065059371042992,0.3,-0.2,0.01,0.78,False
0.442106425456668,-1.5334514996522073,1.9979774814739926,0.3,-0.2,0.01,0.78,False
0.4569569551643849,-2.175243980746895,1.9720128113145523,0.3,-0.2,0.01,0.78,False
0.4636069332034753,-2.811303184576168,5.8730216270265725,0.3,-0.2,0.01,0.78,False
0.3,-0.2,2.224879117281114,0.3,-0.2,0.01,0.79,False
0.4060276076865481,-0.8415285707117214,1.9999829862752263,0.3,-0.2,0.01,0.79,False
0.4459158682343458,-1.4597267815069497,1.9336413668243544,0.3,-0.2,0.01,0.79,False
0.4623187624427118,-2.06569631822894,1.9076140699772002,0.3,-0.2,0.01,0.79,False
0.4698374693790617,-2.66586932456972,5.507241640464524,0.3,-0.2,0.01,0.79,False
0.3,-0.2,2.1579569056510253,0.3,-0.2,0.01,0.8,False
0.4074240042339843,-0.8047767661870903,1.9392036680402562,0.3,-0.2,0.01,0.8,False
0.4499433661865737,-1.3877274019884778,1.8737882502629035,0.3,-0.2,0.01,0.8,False
0.4680872289224437,-1.9587685846160976,1.8477997647715332,0.3,-0.2,0.01,0.8,False
0.4766091316592449,-2.5239732665922188,5.15554264618226,0.3,-0.2,0.01,0.8,False
0.3,-0.2,2.094898060091451,0.3,-0.2,0.01,0.81,False
0.4088659390057943,-0.7688583200636776,1.882692108684845,0.3,-0.2,0.01,0.81,False
0.4541983884295444,-1.317386967621159,1.8183945836711262,0.3,-0.2,0.01,0.81,False
0.4742961781038258,-1.854358568627669,1.7925463077738346,0.3,-0.2,0.01,0.81,False
0.4839815827911471,-2.3854773086277907,4.818154490470593,0.3,-0.2,0.01,0.81,False
0.3,-0.2,2.035664352739695,0.3,-0.2,0.01,0.82,False
0.4103527403536977,-0.7337429122514689,1.8304100323231476,0.3,-0.2,0.01,0.82,False
0.4586905972534582,-1.2486425372556251,1.7674265489251446,0.3,-0.2,0.01,0.82,False
0.4809821424710441,-1.7523694677323274,1.7418200415475824,0.3,-0.2,0.01,0.82,False
0.4920220213852576,-2.250250866344161,4.495408395625455,0.3,-0.2,0.01,0.82,False
0.3,-0.2,1.9802141159572844,0.3,-0.2,0.01,0.83,False
0.4118837219806479,-0.6994017012274977,1.7823077845001822,0.3,-0.2,0.01,0.83,False
0.463429834792848,-1.1814344456807664,1.7208364453884535,0.3,-0.2,0.01,0.83,False
0.488184504727357,-1.6527097199202636,1.6955735077342395,0.3,-0.2,0.01,0.83,False
0.5008060368623257,-2.118170351121297,4.187746236917523,0.3,-0.2,0.01,0.83,False
0.3,-0.2,1.9285013057683855,0.3,-0.2,0.01,0.84,False
0.4134581842109701,-0.6658072357223144,1.7383222272129735,0.3,-0.2,0.01,0.84,False
0.4684261106318376,-1.1157061423096477,1.67855923239224,0.3,-0.2,0.01,0.84,False
0.4959456452347162,-1.5552928759255606,1.653741624631071,0.3,-0.2,0.01,0.84,False
0.5104185480034305,-1.989119143172646,3.895728704262941,0.3,-0.2,0.01,0.84,False
0.3,-0.2,1.8804747490809037,0.3,-0.2,0.01,0.85,False
0.4150754152590526,-0.6329333726293807,1.6983751325036516,0.3,-0.2,0.01,0.85,False
0.4736895906028677,-1.051404043948193,1.64050949675938,0.3,-0.2,0.01,0.85,False
0.5043110979777258,-1.4600375133315928,1.6162380091428685,0.3,-0.2,0.01,0.85,False
0.5209548364780043,-1.862987673057694,3.620040947501301,0.3,-0.2,0.01,0.85,False
0.3,-0.2,1.8360776802659815,0.3,-0.2,0.01,0.86,False
0.4167346924879564,-0.6007552006343623,1.662372301060331,0.3,-0.2,0.01,0.86,False
0.4792305870506354,-0.9884774007667032,1.6065791609783076,0.3,-0.2,0.01,0.86,False
0.5133297181912562,-1.366867194630534,1.582951745419229,0.3,-0.2,0.01,0.86,False
0.5325216906830358,-1.7396736286188947,3.361493655077697,0.3,-0.2,0.01,0.86,False
0.3,-0.2,1.79524770606297,0.3,-0.2,0.01,0.87,False
0.4184352836506276,-0.5692489691069692,1.6302036730547027,0.3,-0.2,0.01,0.87,False
0.4850595508478337,-0.926878174695016,1.5766362879255804,0.3,-0.2,0.01,0.87,False
0.5230538658054906,-1.275710471989482,1.553744964061851,0.3,-0.2,0.01,0.87,False
