t,x_ana,z_ana
0.65,0.8126817409080442,0.6123212063517367
0.66,0.8069235875951101,0.6205417258144467
0.67,0.8010851198743599,0.628707466967542
0.68,0.7951668164955872,0.6368176508136857
0.6900000000000001,0.7891691647970487,0.6448715024773125
0.7000000000000001,0.783092660634656,0.6528682512955215
0.71,0.7769378083118268,0.6608071309081568
0.72,0.7707051205099149,0.6686873793470878
0.73,0.7643951182191522,0.676508239124693
0.74,0.758008330670019,0.6842689573215603
0.75,0.7515452952649893,0.6919687856734082
0.76,0.7450065575105829,0.6996069806572373
0.77,0.7383926709496721,0.7071828035767153
0.78,0.7317041970939917,0.7146955206468055
0.79,0.724941705356799,0.7221444030776384
0.8,0.7181057729856467,0.7295287271576338
0.81,0.7111969849952202,0.7368477743358789
0.8200000000000001,0.704215934100204,0.7441008313037627
0.8300000000000001,0.697163220648142,0.7512871900758706
0.84,0.6900394525522532,0.7584061480701444
0.85,0.6828452452241826,0.7654570081873059
0.86,0.6755812215066431,0.7724390788895474
0.87,0.6682480116059383,0.7793516742784942
0.88,0.6608462530243262,0.7861941141724343
0.89,0.6533765904922159,0.7929657241828196
0.9,0.6458396759001617,0.7996658357900406
0.91,0.638236168230643,0.8062937864184694
0.92,0.6305667334896138,0.8128489195107783
0.93,0.6228320446377982,0.819330584601528
0.94,0.6150327815217176,0.825738137390027
0.95,0.6071696308044453,0.8320709398124639
0.96,0.5992432858960567,0.8383283601133057
0.97,0.5912544468837835,0.8445097729159695
0.98,0.5832038204618452,0.8506145592927586
0.99,0.5750921198609537,0.856642106834065
1.0,0.566920064777486,0.8625918097168397
1.01,0.5586883813023079,0.868463068772323
1.02,0.5503978018492457,0.8742552915530373
1.03,0.5420490650832033,0.8799678923990405
1.04,0.5336429158479082,0.8856002925034334
1.05,0.525180105093291,0.8911519199771297
1.06,0.5166613898024885,0.8966222099128685
1.07,0.5080875329184658,0.902010604448489
1.08,0.499459303270257,0.9073165528294448
1.09,0.49077747549881845,0.9125395114705687
1.1,0.4820428299824931,0.9176789440170802
1.11,0.4732561527620836,0.9227343214048327
1.12,0.46441823546553396,0.9277051219197997
1.13,0.4555298752322159,0.9325908312567968
1.14,0.44659187463682004,0.9373909425774352
1.15,0.43760504161285363,0.942104956567305
1.16,0.42857018937574326,0.946732381492388
1.17,0.41948813634554033,0.9512727332546895
1.18,0.41035970606923533,0.9557255354470973
1.19,0.4011857271426776,0.9600903194074529
1.2,0.3919670331321031,0.9643666242718433
1.21,0.3827044624952737,0.9685539970271011
1.22,0.3733988585022264,0.972651992562515
1.23,0.36405106915563956,0.9766601737207475
1.24,0.35466194711081095,0.9805781113479539
1.25,0.34523234959526006,0.9844053843431037
1.26,0.33576313832794896,0.9881415797064966
1.27,0.3262551794381309,0.9917862925874743
1.28,0.31670934338382656,0.9953391263313236
1.29,0.307126504869931,0.9987996925253653
1.3,0.29750754276596164,1.0021676110442304
1.31,0.2878533400234407,1.0054425100943198
1.32,0.27816478359292596,1.0086240262574382
1.33,0.2684427643406873,1.011711804533608
1.34,0.25868817696504054,1.0147054983830555
1.35,0.24890191991233432,1.0176047697673687
1.36,0.239084895292603,1.0204092891898187
1.37,0.2292380087948868,1.0231187357348523
1.38,0.21936216960222443,1.025732797106738
1.39,0.20945829030632335,1.0282511696673795
1.4,0.19952728682191623,1.0306735584732791
1.41,0.18957007830080297,1.0329996773116568
1.42,0.17958758704559072,1.035229248735725
1.43,0.1695807384231342,1.0373620040991005
1.44,0.15955046077768037,1.0393976835893737
