t,light_x_history,light_z_history,light_xdot_history,light_zdot_history,neutral_x_history,neutral_z_history,neutral_xdot_history,neutral_zdot_history,heavy_x_history,heavy_z_history,heavy_xdot_history,heavy_zdot_history,light_x,light_z,light_xdot,light_zdot,neutral_x,neutral_z,neutral_xdot,neutral_zdot,heavy_x,heavy_z,heavy_xdot,heavy_zdot
0.12,0.04547778544455881,0.04547778544455881,0.23119888950554318,0.23119888950554318,0.07811818414428137,0.07811818414428137,0.513868760747556,0.513868760747556,0.10512099163515917,0.10512099163515917,0.8127699043324734,0.8127699043324734,0.10094024689815502,0.10094024689815502,0.7001181019068478,0.7001181019068478,0.1130124283610292,0.1130124283610292,0.8858460319585564,0.8858460319585564,0.118038205773298,0.118038205773298,0.9674825879412401,0.9674825879412401
0.125,0.0466208670106047,0.0466208670106047,0.22605846289851278,0.22605846289851278,0.0806704633517222,0.0806704633517222,0.5070691155949851,0.5070691155949851,0.10917529313137922,0.10917529313137922,0.8089603684666876,0.8089603684666876,0.10441496601945888,0.10441496601945888,0.6897951098649469,0.6897951098649469,0.11743049260582869,0.11743049260582869,0.8813833408021933,0.8813833408021933,0.12287228869584926,0.12287228869584926,0.9661508846567907,0.9661508846567907
0.13,0.047738890528085644,0.047738890528085644,0.221174389339204,0.221174389339204,0.08318932467807903,0.08318932467807903,0.5005004449325068,0.5005004449325068,0.1132107488406442,0.1132107488406442,0.805231215918172,0.805231215918172,0.1078384516314723,0.1078384516314723,0.679624326703885,0.679624326703885,0.12182629957318009,0.12182629957318009,0.8769431317442626,0.8769431317442626,0.12769971768426314,0.12769971768426314,0.9648210144120486,0.9648210144120486
0.135,0.04883308635973281,0.04883308635973281,0.2165261633656966,0.2165261633656966,0.08567588642293973,0.08567588642293973,0.4941481773708527,0.4941481773708527,0.11722774950410808,0.11722774950410808,0.8015779945856004,0.8015779945856004,0.11121145917361638,0.11121145917361638,0.6696035080997731,0.6696035080997731,0.12619996135685674,0.12619996135685674,0.8725252915587306,0.8725252915587306,0.13252050189691575,0.13252050189691575,0.9634929746840452,0.9634929746840452
0.14,0.049904587960764614,0.049904587960764614,0.2120955329184519,0.2120955329184519,0.08813119748068324,0.08813119748068324,0.4879991221819414,0.4879991221819414,0.12122666461373788,0.12122666461373788,0.7979966567725406,0.7979966567725406,0.1145347328454094,0.1145347328454094,0.6597304431211842,0.6597304431211842,0.13055158980982007,0.13055158980982007,0.868129707262808,0.868129707262808,0.13733465047947002,0.13733465047947002,0.9621667629533139,0.9621667629533139
0.145,0.05095444237325181,0.05095444237325181,0.2078661866273966,0.2078661866273966,0.09055624381273054,0.09055624381273054,0.48204129565768367,0.48204129565768367,0.12520784431040025,0.12520784431040025,0.7944835092803048,0.7944835092803048,0.1178090060101002,0.1178090060101002,0.6500029530300053,0.6500029530300053,0.13488129573573712,0.13488129573573712,0.8637562669335989,0.8637562669335989,0.14214217256696512,0.14214217256696512,0.9608423767033152,0.9608423767033152
0.15,0.051983619282653215,0.051983619282653215,0.20382349316767814,0.20382349316767814,0.09295195411775968,0.09295195411775968,0.4762637744222288,0.4762637744222288,0.12917162105123955,0.12917162105123955,0.7910351711666773,0.7910351711666773,0.12103500121986364,0.12103500121986364,0.6404188912065845,0.6404188912065845,0.13918918953509282,0.13918918953509282,0.8594048590554618,0.8594048590554618,0.14694307728365852,0.14694307728365852,0.9595198134204795,0.9595198134204795
0.155,0.052993018874907594,0.052993018874907594,0.1999542825755639,0.1999542825755639,0.09531920482280053,0.09531920482280053,0.4706565707607141,0.4706565707607141,0.13311831108132763,0.13311831108132763,0.7876485377756803,0.7876485377756803,0.12421343020589813,0.12421343020589813,0.63097614317915,0.63097614317915,0.1434753810335091,0.1434753810335091,0.8550753726934252,0.8550753726934252,0.15173737373575694,0.15173737373575694,0.95819907059621,0.95819907059621
0.16,0.05398347868394597,0.05398347868394597,0.19624666173114202,0.19624666173114202,0.09765882449572935,0.09765882449572935,0.4652105260690896,0.4652105260690896,0.13704821573823403,0.13704821573823403,0.7843207499364604,0.7843207499364604,0.12734499433738364,0.12734499433738364,0.6216726252602981,0.6216726252602981,0.14773997971006594,0.14773997971006594,0.8507676972625597,0.8507676972625597,0.15652507101929727,0.15652507101929727,0.9568801457247114,0.9568801457247114
0.165,0.054955779585798316,0.054955779585798316,0.1926898578064127,0.1926898578064127,0.09997159776219967,0.09997159776219967,0.45991721931212837,0.45991721931212837,0.14096162261321782,0.14096162261321782,0.7810491674495457,0.7810491674495457,0.13043038471681911,0.13043038471681911,0.6125062842637577,0.6125062842637577,0.15198309435166102,0.15198309435166102,0.8464817228771102,0.8464817228771102,0.16130617821772603,0.16130617821772603,0.9555630363036566,0.9555630363036566
