t,light,neutral,heavy
4.545,0.016888324804778334,0.04967154354346569,0.18212899299270746
4.55,0.01686049455592393,0.0495896898703645,0.18182886285800312
4.555,0.01683274065890481,0.049508060761484736,0.18152955612544397
4.5600000000000005,0.016805062820784422,0.049426655355248296,0.18123106963591037
4.565,0.016777460750069664,0.04934547279432254,0.18093340024584925
4.57,0.01674993415670216,0.04926451222559459,0.1806365448271801
4.575,0.01672248275204968,0.04918377280014612,0.18034050026720239
4.58,0.016695106248897546,0.04910325367322808,0.1800452634685029
4.585,0.01666780436144015,0.04902295400423573,0.1797508313488643
4.59,0.016640576805272516,0.04894287295668387,0.1794572008411741
4.595,0.016613423297381913,0.048863009698182094,0.17916436889333429
4.6000000000000005,0.016586343556139513,0.04878336340041033,0.17887233246817116
4.605,0.01655933730129219,0.04870393323909468,0.1785810885433471
4.61,0.016532404253954247,0.04862471839398309,0.17829063411127125
4.615,0.016505544136599312,0.048545718048821504,0.17800096617901215
4.62,0.016478756673052226,0.04846693139133008,0.17771208176821024
4.625,0.01645204158848104,0.04838835761317952,0.17742397791499154
4.63,0.016425398609388995,0.04830999590996763,0.17713665166988124
4.635,0.016398827463606644,0.048231845481196016,0.17685010009771865
4.64,0.016372327880283977,0.04815390553024699,0.17656432027757224
4.6450000000000005,0.01634589958988259,0.04807617526436057,0.17627930930265534
4.65,0.016319542324167963,0.04799865389461165,0.17599506428024267
4.655,0.016293255816201724,0.047921340635887426,0.17571158233158715
4.66,0.016267039800334043,0.04784423470686483,0.17542886059183765
4.665,0.01624089401219599,0.047767335329988204,0.1751468962099567
4.67,0.016214818188692044,0.047690641731447186,0.17486568634863964
4.675,0.01618881206799256,0.04761415314115459,0.17458522818423342
4.68,0.016162875389526366,0.047537868792724605,0.17430551890665683
4.6850000000000005,0.01613700789397336,0.04746178792345105,0.17402655571932046
4.69,0.01611120932325718,0.04738590977428583,0.17374833583904797
4.695,0.016085479420537934,0.04731023358981745,0.17347085649599728
4.7,0.016059817930204934,0.04723475861824981,0.17319411493358258
4.705,0.01603422459786956,0.04715948411138106,0.17291810840839716
4.71,0.016008699170358076,0.04708440932458258,0.17264283419013604
4.715,0.01598324139570459,0.0470095335167782,0.17236828956152003
4.72,0.015957851023143992,0.04693485595042351,0.1720944718182195
4.7250000000000005,0.015932527803104973,0.046860375891485215,0.17182137826877905
4.73,0.015907271487203105,0.046786092609420904,0.17154900623454325
4.735,0.01588208182823391,0.04671200537715856,0.17127735304958136
4.74,0.015856958580166062,0.04663811347107665,0.17100641606061434
4.745,0.015831901498134546,0.04656441617098397,0.17073619262694115
4.75,0.015806910338433944,0.04649091276009983,0.170466680120366
4.755,0.0157819848585117,0.046417602525034414,0.17019787592512614
4.76,0.0157571248169615,0.04634448475576911,0.16992977743782003
4.765,0.015732329973516604,0.04627155874563707,0.1696623820673359
4.7700000000000005,0.015707600089043334,0.04619882379130392,0.169395687234781
4.775,0.01568293492553451,0.04612627919274856,0.16912969037341133
4.78,0.015658334246102995,0.0460539242532441,0.16886438892856168
4.785,0.01563379781497525,0.045981758279338966,0.16859978035757614
4.79,0.015609325397484922,0.04590978058083801,0.1683358621297393
4.795,0.015584916760066547,0.04583799047078396,0.16807263172620782
4.8,0.015560571670249199,0.045766387265438815,0.1678100866399423
4.805,0.015536289896650235,0.0456949702842654,0.16754822437563974
4.8100000000000005,0.015512071208969086,0.04562373884990908,0.16728704244966655
4.815,0.015487915377981092,0.04555269228817968,0.16702653838999212
4.82,0.015463822175531324,0.045481829928033304,0.16676670973612207
4.825,0.015439791374528524,0.045411151101554484,0.16650755403903306
4.83,0.015415822748939035,0.04534065514393834,0.16624906886110719
4.835,0.015391916073780787,0.045270341393472906,0.16599125177606727
4.84,0.015368071125117339,0.04520020919152158,0.16573410036891242
4.845,0.015344287680051921,0.04513025788250565,0.165477612235854
4.8500000000000005,0.015320565516721561,0.04506048681388695,0.16522178498425208
4.855,0.015296904414291223,0.04499089533615065,0.16496661623255235
4.86,0.01527330415294799,0.04492148280278821,0.16471210361022337
4.865,0.015249764513895293,0.04485224857028028,0.1644582447576943
4.87,0.015226285279347166,0.0447831919980799,0.16420503732629294
4.875,0.01520286623252256,0.04471431244859576,0.1639524789781844
4.88,0.015179507157639655,0.04464560928717545,0.16370056738630995
4.885,0.015156207839910268,0.04457708188208902,0.16344930023432636
4.89,0.015132968065534257,0.04450872960451252,0.16319867521654588
4.8950000000000005,0.015109787621693951,0.04444055182851162,0.1629486900378759
4.9,0.01508666629654867,0.0443725479310255,0.1626993424137601
4.905,0.015063603879229222,0.044304717291850655,0.162450630070119
4.91,0.015040600159832471,0.04423705929362492,0.16220255074329132
4.915,0.015017654929415949,0.044169573321811616,0.16195510217997588
4.92,0.014994767979992458,0.0441022587646837,0.1617082821371735
4.925,0.014971939104524769,0.044035115013308146,0.1614620883821298
4.93,0.014949168096920302,0.0439681414615303,0.16121651869227774
4.9350000000000005,0.014926454752025866,0.04390133750595843,0.16097157085518085
4.94,0.014903798865622446,0.04383470254594837,0.16072724266847732
4.945,0.014881200234419998,0.04376823598358823,0.16048353193982345
4.95,0.014858658656052282,0.04370193722368318,0.16024043648683828
4.955,0.01483617392907175,0.04363580567374044,0.15999795413704823
4.96,0.014813745852944439,0.04356984074395423,0.15975608272783212
4.965,0.014791374228044938,0.043504041847191,0.15951482010636694
4.97,0.014769058855651334,0.04343840839897451,0.15927416412957318
4.9750000000000005,0.014746799537940228,0.043372939817471264,0.15903411266406126
4.98,0.014724596077981787,0.04330763552347585,0.15879466358607805
4.985,0.014702448279734806,0.04324249494039649,0.15855581478145375
4.99,0.01468035594804179,0.043177517494240564,0.15831756414554868
4.995,0.014658318888624141,0.043112702613600416,0.15807990958320148
5.0,0.014636336908077278,0.043048049729639055,0.15784284900867648
5.005,0.014614409813865857,0.04298355827607605,0.15760638034561214
5.01,0.014592537414319,0.042919227689173535,0.15737050152696958
5.015,0.01457071951862556,0.04285505740772223,0.15713521049498147
5.0200000000000005,0.014548955936829382,0.042791046873027594,0.15690050520110113
5.025,0.014527246479824682,0.042727195528896124,0.15666638360595242
5.03,0.014505590959351352,0.042663502821621624,0.15643284367927926
5.035,0.014483989187990345,0.042599968199971604,0.15619988339989582
5.04,0.014462440979159115,0.04253659111517387,0.15596750075563748
5.045,0.014440946147107033,0.04247337102090304,0.1557356937433111
5.05,0.014419504506910867,0.04241030737326726,0.15550446036864657
5.055,0.01439811587447029,0.04234739963079497,0.15527379864624818
5.0600000000000005,0.014376780066503388,0.04228464725442173,0.15504370659954628
5.065,0.014355496900542244,0.042222049707477186,0.15481418226074964
5.07,0.014334266194928502,0.042159606455672065,0.15458522367079752
5.075,0.014313087768808987,0.042097316967085255,0.15435682887931257
5.08,0.014291961442131353,0.04203518071215104,0.15412899594455376
5.085,0.014270887035639754,0.041973197163646336,0.15390172293336987
5.09,0.014249864370870531,0.041911365796678035,0.15367500792115274
5.095,0.014228893270147945,0.04184968608867043,0.1534488489917915
5.1000000000000005,0.014207973556579928,0.041788157519352734,0.15322324423762665
5.105,0.014187105054053873,0.041726779570746685,0.15299819175940446
5.11,0.014166287587232417,0.041665551727154165,0.1527736896662319
5.115,0.014145520981549288,0.04160447347514497,0.1525497360755315
5.12,0.014124805063205173,0.04154354430354463,0.15232632911299693
5.125,0.014104139659163581,0.0414827637034223,0.1521034669125484
5.13,0.014083524597146783,0.041422131168078774,0.1518811476162888
5.135,0.014062959705631723,0.04136164619303448,0.1516593693744597
5.14,0.014042444813845997,0.04130130827601764,0.15143813034539796
5.1450000000000005,0.014021979751763832,0.041241116916952446,0.15121742869549226
5.15,0.014001564350102122,0.041181071617947415,0.15099726259914048
5.155,0.013981198440316433,0.041121171883283625,0.15077763023870658
5.16,0.013960881854597089,0.0410614172194032,0.15055852980447837
5.165,0.013940614425865262,0.04100180713489783,0.15033995949462534
5.17,0.013920395987769079,0.040942341140497295,0.1501219175151567
5.175,0.013900226374679761,0.04088301874905812,0.14990440207987973
5.18,0.013880105421687779,0.04082383947555229,0.14968741141035835
5.1850000000000005,0.01386003296459905,0.04076480283705603,0.14947094373587205
5.19,0.013840008839931152,0.040705908352738684,0.14925499729337513
5.195,0.01382003288490954,0.040647155543851586,0.14903957032745577
5.2,0.013800104937463819,0.040588543933717115,0.14882466109029605
5.205,0.013780224836224004,0.040530073047717656,0.14861026784163137
5.21,0.013760392420516854,0.04047174241328486,0.14839638884871112
5.215,0.013740607530362174,0.04041355155988875,0.14818302238625872
5.22,0.013720870006469186,0.04035550001902702,0.14797016673643235
5.2250000000000005,0.013701179690232861,0.0402975873242143,0.14775782018878572
5.23,0.013681536423730378,0.0402398130109717,0.1475459810402295
5.235,0.013661940049717478,0.04018217661681611,0.14733464759499237
5.24,0.013642390411624943,0.04012467768124983,0.14712381816458267
5.245,0.013622887353555043,0.04006731574575013,0.14691349106775042
5.25,0.013603430720278023,0.04001009035375889,0.14670366463044923
5.255,0.013584020357228605,0.039953001050672364,0.14649433718579863
5.26,0.013564656110502515,0.03989604738383092,0.14628550707404667
5.265,0.013545337826853042,0.03983922890250895,0.14607717264253275
5.2700000000000005,0.013526065353687585,0.03978254515790466,0.14586933224565038
5.275,0.013506838539064274,0.03972599570313022,0.14566198424481075
5.28,0.013487657231688554,0.03966958009320163,0.14545512700840593
5.285,0.013468521280909829,0.03961329788502891,0.14524875891177264
5.29,0.013449430536718125,0.039557148637406246,0.1450428783371562
5.295,0.013430384849740738,0.03950113191100217,0.14483748367367458
5.3,0.013411384071238956,0.03944524726834987,0.14463257331728283
5.305,0.013392428053104756,0.03938949427383752,0.14442814567073753
5.3100000000000005,0.013373516647857539,0.03933387249369864,0.14422419914356166
5.315,0.013354649708640906,0.039278381496002664,0.14402073215200972
5.32,0.013335827089219396,0.03922302085064528,0.14381774311903267
5.325,0.01331704864397531,0.03916779012933915,0.1436152304742435
5.33,0.013298314227905509,0.03911268890560444,0.14341319265388291
5.335,0.013279623696618252,0.03905771675475956,0.14321162810078503
5.34,0.013260976906330048,0.039002873253911906,0.14301053526434362
5.345,0.01324237371386253,0.03894815798194862,0.14280991260047823
5.3500000000000005,0.013223813976639336,0.03889357051952746,0.14260975857160063
5.355,0.013205297552683034,0.038839110449067744,0.1424100716465817
5.36,0.013186824300612028,0.038784777354741264,0.14221085030071792
5.365,0.013168394079637531,0.038730570822463325,0.1420120930156988
5.37,0.013150006749560501,0.038676490439883825,0.141813798279574
5.375,0.01313166217076865,0.03862253579637838,0.14161596458672068
5.38,0.013113360204233432,0.038568706483039505,0.14141859043781146
5.385,0.013095100711507058,0.03851500209266782,0.14122167433978197
5.39,0.013076883554719554,0.0384614222197634,0.14102521480579908
5.3950000000000005,0.013058708596575788,0.03840796646051702,0.14082921035522905
5.4,0.013040575700352578,0.0383546344128017,0.14063365951360618
5.405,0.013022484729895744,0.03830142567616395,0.14043856081260112
5.41,0.01300443554961725,0.03824833985181544,0.1402439127899899
5.415,0.0129864280244923,0.038195376542624414,0.1400497139896228
5.42,0.012968462020056512,0.03814253535310739,0.13985596296139371
5.425,0.012950537402403053,0.038089815889420744,0.13966265826120935
5.43,0.012932654038179824,0.03803721775935242,0.13946979845095883
5.4350000000000005,0.012914811794586655,0.03798474057231369,0.1392773820984835
5.44,0.012897010539372524,0.03793238393933095,0.1390854077775468
5.445,0.012879250140832762,0.037880147473037536,0.13889387406780426
5.45,0.012861530467806323,0.037828030787665654,0.13870277955477403
