t,first_x,first_z,first_xdot,first_zdot,second_x,second_z,second_xdot,second_zdot,third_x,third_z,third_xdot,third_zdot
7.13,1.0535437045499394,0.804312962344664,,,1.0166821026195412,0.7811792669872633,,,1.0168523918501078,0.7808777681085547,,
7.140000000000001,1.046102176071995,0.8148263651192096,,,1.0094018411296783,0.7912944374573285,,,1.009575358022561,0.7909940834547551,,
7.15,1.0385560362582469,0.8252711188711881,,,1.0020211899672593,0.801341886176715,,,1.0021979285164155,0.801042711021599,,
7.16,1.0309059155911164,0.8356461846689477,,,0.9945407770202958,0.811320618283031,,,0.9947207308247467,0.8110226559388812,,
7.17,1.0231524548541595,0.8459505293440412,,,0.9869612400238249,0.8212296447159947,,,0.9871444023725611,0.8209329291354284,,
7.18,1.0152963050796586,0.8561831255931978,,,0.9792832265065029,0.8310679823147779,,,0.9794695903017653,0.8307725474353769,,
7.19,1.0073381274952058,0.86634295207982,,,0.9715073937361838,0.8408346539148608,,,0.9716969515587304,0.8405405336560247,,
7.2,0.9992785934692833,0.8764289935349987,,,0.9636344086645913,0.8505286884443869,,,0.9638271527103041,0.8502359167032947,,
7.21,0.9911183844558442,0.8864402408580324,,,0.9556649478710457,0.8601491210200085,,,0.9558608699987853,0.859857731668217,,
7.22,0.9828581919378989,0.8963756912164453,,,0.9475996975051653,0.8696949930422146,,,0.947798789211515,0.8694050199218134,,
7.23,0.9744987173701108,0.9062343481454901,,,0.9394393532287528,0.8791653522901312,,,0.939641605662659,0.8788768292102419,,
7.24,0.9660406721204071,0.9160152216471289,,,0.9311846201566232,0.8885592530157838,,,0.9313900241097257,0.8882722137487619,,
7.25,0.957484777410608,0.9257173282884809,,,0.9228362127965664,0.8978757560378149,,,0.923044758713226,0.8975902343156891,,
7.26,0.9488317642560805,0.9353396912997273,,,0.914394854988349,0.9071139288346454,,,0.9146065329539699,0.9068299583453576,,
7.2700000000000005,0.940082373404421,0.9448813406714649,,,0.9058612798418311,0.9162728456370711,,,0.9060760795926354,0.915990460020848,,
7.28,0.9312373552731716,0.9543413132514967,,,0.8972362296741261,0.9253515875202863,,,0.8974541405677539,0.9250708203658449,,
7.29,0.922297469886576,0.963718652841052,,,0.8885204559458718,0.9343492424953238,,,0.8887414670036314,0.9340701273362868,,
7.3,0.913263486811379,0.973012410290425,,,0.8797147191965713,0.9432649055999035,,,0.8799388190777491,0.942987475910941,,
7.3100000000000005,0.9041361850916766,0.9822216435940236,,,0.8708197889790762,0.9520976789886803,,,0.8710469660011474,0.9518219681819872,,
7.32,0.8949163531828199,0.9913454179848182,,,0.861836443793128,0.9608466720228815,,,0.8620666858866837,0.9605727134442396,,
7.33,0.8856047888843807,1.000382806028181,,,0.8527654710180359,0.9695110013593268,,,0.8529987657931956,0.9692388282846299,,
7.34,0.8762022992721823,1.0093328877151067,,,0.8436076668444509,0.9780897910388194,,,0.843844001545532,0.9778194366700904,,
7.3500000000000005,0.8667097006294028,1.0181947505548063,,,0.8343638362052713,0.9865821725739022,,,0.834603197725893,0.9863136700358565,,
7.36,0.8571278183767554,1.0269674896666632,,,0.8250347927057161,0.9949872850359681,,,0.8252771675678434,0.9947206673720383,,
7.37,0.8474574870017527,1.0356502078715426,,,0.8156213585524381,1.0033042751417172,,,0.8158667329435525,1.0030395753104577,,
7.38,0.8376995499870595,1.0442420157824472,,,0.806124364481854,1.0115322973389511,,,0.8063727242173923,1.0112695482101943,,
7.390000000000001,0.8278548597379423,1.0527420318945069,,,0.7965446496876023,1.019670513891698,,,0.7967959802414047,1.0194097482429691,,
7.4,0.8179242775088191,1.0611493826742955,,,0.786883061747149,1.0277180949646558,,,0.7871373482294736,1.027459345477212,,
7.41,0.8079086733289182,1.0694632026484658,,,0.7771404565475255,1.0356742187069512,,,0.7773976837379611,1.0354175179623197,,
7.42,0.7978089259270501,1.0776826344916932,,,0.7673176982102872,1.0435380713351985,,,0.7675778505091181,1.0432834518111778,,
7.43,0.7876259226555004,1.0858068291139182,,,0.7574156590156012,1.0513088472158576,,,0.7576787205041591,1.0510563412830223,,
7.44,0.7773605594130499,1.0938349457468814,,,0.7474352193255215,1.0589857489468772,,,0.7477011736974216,1.0587353888646045,,
7.45,0.7670137405671282,1.1017661520299409,,,0.7373772675064395,1.0665679874386178,,,0.7376460981399406,1.0663198053516514,,
7.46,0.756586378875107,1.1095996240951618,,,0.7272426998507483,1.074054781994046,,,0.7275143897697692,1.073808809928456,,
7.47,0.7460793954047416,1.1173345466516733,,,0.7170324204976799,1.081445360388191,,,0.7173069523553605,1.081201630247921,,
7.48,0.7354937194537647,1.1249701130692809,,,0.7067473413533829,1.0887389589468568,,,0.7070246974710057,1.0884975025098071,,
7.49,0.7248302884686431,1.1325055254613265,,,0.696388382010184,1.0959348226245804,,,0.6966685443665965,1.095695671538919,,
7.5,0.7140900479624995,1.1399399947667903,,,0.6859564696650313,1.1030322050818309,,,0.6862394198700041,1.1027953908623447,,
7.51,0.7032739514322119,1.1472727408316212,,,0.6754525390372706,1.1100303687614377,,,0.6757382583724076,1.1097959227857352,,
7.5200000000000005,0.6923829602746935,1.1545029924892936,,,0.6648775322855459,1.1169285849642434,,,0.6651660016825651,1.116696538468971,,
7.53,0.6814180437023617,1.161629987640576,,,0.6542323989240018,1.1237261339239728,,,0.654523598983955,1.1234965180013858,,
7.54,0.6703801786578054,1.1686529733325093,,,0.6435180957377226,1.13042230488131,,,0.6438120067280609,1.1301951504753218,,
7.55,0.6592703497276546,1.1755712058365817,,,0.6327355866974167,1.1370163961571753,,,0.6330321885220831,1.1367917340598876,,
7.5600000000000005,0.6480895490556627,1.1823839507260958,,,0.6218858428733661,1.1435077152251973,,,0.6221851151189114,1.1432855760730831,,
7.57,0.6368387762550075,1.1890904829527174,,,0.6109698423486477,1.149895578783369,,,0.6112717642581178,1.1496759930535834,,
7.58,0.6255190383198195,1.1956900869222002,,,0.5999885701316411,1.1561793128248827,,,0.6002931205828157,1.1559623108316768,,
7.59,0.6141313495359441,1.2021820565692773,,,0.5889430180678228,1.1623582527081386,,,0.5892501756530665,1.162143864599179,,
7.6000000000000005,0.602676731390947,1.2085656954317119,,,0.5778341847508222,1.1684317432259135,,,0.5781439276531436,1.1682199989784408,,
7.61,0.5911562124833695,1.2148403167235002,,,0.5666630754328457,1.1743991386736898,,,0.5669753815415581,1.1741900680911048,,
7.62,0.5795708284312419,1.2210052434072187,,,0.5554307019343518,1.1802598029171334,,,0.5557455488411976,1.180053435625161,,
7.63,0.5679216217798637,1.2270598082655078,,,0.5441380825530452,1.1860131094587143,,,0.5444554474446176,1.1858094749018386,,
7.640000000000001,0.5562096419088584,1.233003353971685,,,0.5327862419722507,1.1916584415034637,,,0.5331061017391989,1.1914575689413132,,
7.65,0.5444359449385097,1.2388352331594799,,,0.5213762111685707,1.1971951920238608,,,0.5216985423506114,1.1969971105273038,,
7.66,0.5326015936353905,1.2445548084918847,,,0.5099090273188859,1.2026227638238418,,,0.5102338061764443,1.2024275022718705,,
7.67,0.52070765731729,1.2501614527291114,,,0.49838573370673506,1.2079405696019248,,,0.4987129361670904,1.2077481566777322,,
7.68,0.5087552117574486,1.2556545487956492,,,0.4868073796280224,1.2131480320134442,,,0.48713698124814325,1.2129584962009328,,
7.69,0.49674533908810975,1.2610334898464164,,,0.47517502029614866,1.2182445837318892,,,0.47550699635724936,1.2180579533121083,,
7.7,0.48467912770339544,1.2662976793319984,,,0.4634897167464542,1.2232296675093364,,,0.4638240421869095,1.2230459705568353,,
7.71,0.4725576721615163,1.2714465310629646,,,0.4517525357400687,1.2281027362359753,,,0.45208918518866686,1.2279220006154,,
7.72,0.46038207308632284,1.276479469273259,,,0.43996454966716997,1.232863252998716,,,0.44030349739684493,1.2326855063609714,,
7.73,0.44815343706820837,1.2813959286826566,,,0.42812683644962873,1.2375106911388751,,,0.4284680564361357,1.2373359609178172,,
7.74,0.435872876564371,1.2861953545582787,,,0.4162404794430859,1.242044534308934,,,0.41658394535558874,1.2418728477176764,,
7.75,0.4235415097984449,1.2908772027751627,,,0.4043065673383871,1.246464276528362,,,0.40465225252468723,1.246295660555886,,
7.76,0.4111604606595087,1.2954409398758764,,,0.3923261940625354,1.2507694222385002,,,0.3926740715606915,1.2506039036461034,,
7.7700000000000005,0.39873085860048063,1.299886043129174,,,0.3803004586790399,1.254959486356498,,,0.38065050124938543,1.2547970916744309,,
7.78,0.38625383853591,1.3042120005876856,,,0.36823046528767406,1.2590339943282995,,,0.36858264531789453,1.2588747498520945,,
