t,e_abs,e_rel,order
33.79,0.004108458943180603,0.0012820532110434585,2
33.8,0.0041110875691288415,0.0012824325601745567,2
33.81,0.004113717516053919,0.0012828119112154185,2
33.82,0.004116348784566774,0.0012831912642108066,2
33.83,0.004118981375233472,0.0012835706191911883,2
33.84,0.004121615288621253,0.0012839499761871007,2
33.85,0.0041242505253405335,0.0012843293352422277,2
33.86,0.004126887086005821,0.0012847086964012067,2
33.87,0.0041295249711821025,0.001285088059692936,2
33.88,0.004132164181437546,0.001285467425146996,2
33.89,0.004134804717408381,0.0012858467928138196,2
33.9,0.004137446579638493,0.001286226162714787,2
33.910000000000004,0.004140089768742439,0.0012866055348929309,2
33.92,0.004142734285333819,0.0012869849093906426,2
33.93,0.004145380129981742,0.0012873642862361527,2
33.94,0.004148027303254198,0.0012877436654570118,2
33.95,0.004150675805767463,0.0012881230470954247,2
33.96,0.004153325638134579,0.0012885024311922364,2
33.97,0.0041559768009276615,0.0012888818177752392,2
33.980000000000004,0.004158629294714654,0.0012892612068705898,2
33.99,0.0041612831201118,0.0012896405985190673,2
34.0,0.004163938277736595,0.001290019992761471,2
34.01,0.004166594768158674,0.0012903993896234037,2
34.02,0.004169252591948863,0.0012907787891304821,2
34.03,0.004171911749748358,0.0012911581913297445,2
34.04,0.004174572242105091,0.0012915375962389815,2
34.05,0.004177234069659794,0.0012919170039043311,2
34.06,0.004179897232962268,0.0012922964143434203,2
34.07,0.004182561732653753,0.0012926758276017767,2
34.08,0.004185227569306448,0.001293055243703193,2
34.09,0.00418789474346985,0.0012934346626640736,2
34.1,0.004190563255833021,0.001293814084543546,2
34.11,0.004193233106946234,0.0012941935093574674,2
34.12,0.004195904297406735,0.0012945729371358148,2
34.13,0.004198576827765391,0.0012949523678938638,2
34.14,0.0042012506987112895,0.001295331801689121,2
34.15,0.00420392591079574,0.0012957112385361918,2
34.160000000000004,0.004206602464595341,0.0012960906784570837,2
34.17,0.004209280360753395,0.0012964701214939513,2
34.18,0.00421195959982243,0.00129684956766057,2
34.19,0.00421464018244787,0.0012972290169989131,2
34.2,0.004217322109182608,0.0012976084695220484,2
34.21,0.00422000538067203,0.0012979879252710943,2
34.22,0.00422268999749337,0.001298367384265773,2
34.230000000000004,0.004225375960199842,0.00129874684651801,2
34.24,0.004228063269485082,0.0012991263120824721,2
34.25,0.0042307519259033605,0.0012995057809705513,2
34.26,0.004233441930055834,0.0012998852532076245,2
34.27,0.004236133282520452,0.0013002647288115126,2
34.28,0.004238825983921505,0.0013006442078138322,2
34.29,0.004241520034885491,0.0013010236902464278,2
34.300000000000004,0.00424421543596716,0.0013014031761186965,2
34.31,0.004246912187815702,0.0013017826654685598,2
34.32,0.004249610290987767,0.0013021621583051226,2
34.33,0.00425230974613207,0.0013025416546652625,2
34.34,0.004255010553807378,0.0013029211545578473,2
34.35,0.004257712714662474,0.0013033006580188693,2
34.36,0.004260416229278612,0.001303680165063185,2
34.37,0.0042631210982370235,0.0013040596757052014,2
34.38,0.004265827322165551,0.0013044391899731313,2
34.39,0.00426853490169357,0.0013048187078951918,2
34.4,0.004271243837402112,0.001305198229484355,2
34.410000000000004,0.0042739541298734245,0.001305577754753513,2
34.42,0.0042766657797370464,0.0013059572837295513,2
34.43,0.004279378787622731,0.0013063368164389414,2
34.44,0.004282093154112402,0.0013067163528930857,2
34.45,0.004284808879792033,0.0013070958931041647,2
34.46,0.004287525965291612,0.00130747543709732,2
34.47,0.004290244411240634,0.0013078549848970634,2
34.480000000000004,0.004292964218202099,0.0013082345365071617,2
34.49,0.00429568538682955,0.0013086140919585077,2
34.5,0.004298407917708282,0.0013089936512607192,2
34.51,0.004301131811424446,0.0013093732144232046,2
34.52,0.004303857068610333,0.001309752781468947,2
34.53,0.004306583689898744,0.0013101323524205967,2
34.54,0.004309311675877211,0.0013105119272865452,2
34.550000000000004,0.0043120410271312104,0.0013108915060740874,2
34.56,0.004314771744294174,0.0013112710888046198,2
34.57,0.004317503828000859,0.0013116506754994482,2
34.58,0.004320237278840517,0.0013120302661655603,2
34.59,0.004322972097398516,0.0013124098608082921,2
34.6,0.004325708284336404,0.0013127894594556207,2
34.61,0.0043284458402160254,0.0013131690621047641,2
34.62,0.004331184765700233,0.0013135486687831097,2
34.63,0.004333925061352474,0.001313928279487392,2
34.64,0.004336666727833586,0.001314307894243395,2
34.65,0.004339409765711153,0.0013146875130481362,2
34.660000000000004,0.004342154175619917,0.001315067135918499,2
34.67,0.004344899958199428,0.0013154467628723216,2
34.68,0.00434764711403987,0.0013158263939119948,2
34.69,0.00435039564375593,0.0013162060290468403,2
34.7,0.0043531455479152445,0.0013165856682714513,2
34.71,0.0043558968272287,0.0013169653116232578,2
34.72,0.004358649482264384,0.0013173449590959934,2
34.730000000000004,0.0043614035136137035,0.001317724610689958,2
34.74,0.004364158921943304,0.0013181042664276918,2
34.75,0.004366915707819189,0.0013184839263008267,2
34.76,0.004369673871907955,0.0013188635903308799,2
34.77,0.004372433414778204,0.0013192432585092816,2
34.78,0.004375194337096976,0.001319622930856675,2
34.79,0.004377956639458141,0.00132000260737112,2
34.800000000000004,0.00438072032242988,0.0013203822880424442,2
34.81,0.004383485386730691,0.0013207619729052893,2
34.82,0.0043862518329281595,0.001321141661948298,2
34.83,0.004389019661643678,0.0013215213551758377,2
34.84,0.004391788873449979,0.001321901052577126,2
34.85,0.004394559469060943,0.0013222807541833715,2
34.86,0.004397331449051103,0.0013226604599833303,2
34.87,0.004400104814037736,0.0013230401699781268,2
34.88,0.004402879564623593,0.0013234198841640245,2
34.89,0.004405655701449662,0.00132379960254828,2
34.9,0.004408433225164208,0.0013241793251398306,2
34.910000000000004,0.0044112121363397575,0.0013245590519243584,2
34.92,0.004413992435648255,0.0013249387829169109,2
34.93,0.0044167741236889775,0.0013253185181102108,2
34.94,0.004419557201058348,0.001325698257495634,2
34.95,0.004422341668407219,0.0013260780010803913,2
34.96,0.004425127526381838,0.001326457748869803,2
34.97,0.0044279147755827844,0.001326837500854999,2
34.980000000000004,0.004430703416610387,0.0013272172570265458,2
34.99,0.004433493450114398,0.0013275970173893229,2
35.0,0.0044362848767431975,0.001327976781947294,2
35.01,0.00443907769709854,0.0013283565506899636,2
35.02,0.004441871911783727,0.0013287363236068137,2
35.03,0.004444667521447771,0.0013291161007005132,2
35.04,0.004447464526741738,0.0013294958819738392,2
35.050000000000004,0.004450262928244469,0.001329875667407484,2
35.06,0.004453062726630919,0.0013302554570103803,2
35.07,0.004455863922507015,0.0013306352507703346,2
35.08,0.004458666516475113,0.0013310150486736075,2
35.09,0.00446147050918719,0.0013313948507207886,2
35.1,0.004464275901297176,0.001331774656912551,2
35.11,0.004467082693408837,0.0013321544672341118,2
35.12,0.004469890886153877,0.0013325342816785384,2
35.13,0.004472700480112481,0.0013329141002230598,2
35.14,0.004475511476011482,0.001333293922888129,2
35.15,0.00447832387443241,0.001333673749650404,2
35.160000000000004,0.004481137675982804,0.0013340535804938207,2
35.17,0.0044839528813192435,0.0013344334154164433,2
35.18,0.00448676949109431,0.0013348132544146517,2
