t,H_x,H_z,history_x,history_z,delta_t
2.63,-0.06188717697165498,-0.17456761117690953,0.09896243841171826,-0.0472808380734655,0.01
2.64,-0.060894530546921975,-0.17503577631409867,0.09956216880542001,-0.046349119600691324,0.01
2.65,-0.05989593359554658,-0.17549459356892336,0.10015251441966555,-0.04541130577922203,0.01
2.66,-0.05889148025852866,-0.1759440024296831,0.10073341701610605,-0.044467485270971,0.01
2.67,-0.05788126525522446,-0.17638394327434276,0.10130481916626088,-0.04351774734329794,0.01
2.68,-0.056865383875203436,-0.17681435737654908,0.10186666425757851,-0.04256218186133687,0.01
2.69,-0.055843931970072896,-0.1772351869115695,0.10241889649836011,-0.04160087927974487,0.01
2.7,-0.05481700594523624,-0.17764637496214397,0.10296146092417846,-0.040633930634719206,0.01
2.71,-0.05378470275158933,-0.17804786552426388,0.10349430340585286,-0.03966142753591484,0.01
2.72,-0.05274711987711918,-0.17843960351286225,0.10401737065419292,-0.03868346215826968,0.01
2.73,-0.05170435533850546,-0.1788215347674293,0.10453061022541643,-0.037700127233730285,0.01
2.74,-0.05065650767261085,-0.17919360605753687,0.10503397052991792,-0.03671151604284972,0.01
2.75,-0.049603675927907105,-0.1795557650882863,0.10552740083499357,-0.03571772240666071,0.01
2.7600000000000002,-0.04854595965591098,-0.17990796050567007,0.10601085127311105,-0.03471884067813136,0.01
2.77,-0.04748345890244488,-0.18025014190184896,0.10648427284754236,-0.03371496573367594,0.01
2.7800000000000002,-0.04641627419896013,-0.18058225982034357,0.10694761743537207,-0.03270619296474386,0.01
2.79,-0.04534450655373744,-0.18090426576114385,0.10740083779468579,-0.031692618269207884,0.01
2.8000000000000003,-0.044268257443066415,-0.18121611218572775,0.10784388757333252,-0.03067433804265285,0.01
2.81,-0.04318762880227079,-0.18151775252199692,0.10827672131027155,-0.02965144916985274,0.01
2.82,-0.042102723016861035,-0.1818091411691248,0.10869929443834003,-0.02862404901595994,0.01
2.83,-0.041013642913503984,-0.1820902335023161,0.10911156329696436,-0.027592235417754907,0.01
2.84,-0.039920491750921744,-0.18236098587747987,0.10951348513393544,-0.02655610667485675,0.01
2.85,-0.038823373210825275,-0.18262135563581322,0.10990501810910502,-0.025515761540781057,0.01
2.86,-0.03772239138873964,-0.18287130110829553,0.11028612129994464,-0.024471299214065212,0.01
2.87,-0.03661765078482638,-0.18311078162009453,0.11065675470546688,-0.02342281932923207,0.01
2.88,-0.035509256294630295,-0.18333975749488016,0.11101687925412485,-0.022370421947954355,0.01
2.89,-0.03439731319974388,-0.18355819005905363,0.11136645680863677,-0.021314207549853137,0.01
2.9,-0.033281927158457555,-0.18376604164587723,0.11170545016638811,-0.02025427702336735,0.01
2.91,-0.03216320419641611,-0.18396327559952103,0.11203382306594234,-0.019190731656678395,0.01
2.92,-0.031041250697138704,-0.18414985627901082,0.11235154019370874,-0.01812367312851393,0.01
2.93,-0.029916173392541934,-0.18432574906209132,0.11265856718484613,-0.017053203498948122,0.01
2.94,-0.028788079353441777,-0.18449092034898978,0.11295487063002896,-0.01597942519998341,0.01
2.95,-0.02765707597994135,-0.18464533756609097,0.11324041808042362,-0.014902441026414692,0.01
2.96,-0.0265232709918333,-0.18478896916951812,0.1135151780478445,-0.013822354126386216,0.01
2.97,-0.02538677241898446,-0.1849217846486187,0.11377912001007506,-0.012739267991934256,0.01
2.98,-0.0242476885916318,-0.18504375452935679,0.11403221442085743,-0.011653286449693212,0.01
2.99,-0.02310612813056731,-0.18515485037761253,0.11427443270524607,-0.010564513651283747,0.01
3.0,-0.021962199937526874,-0.18525504480238247,0.11450574726307994,-0.009473054063908748,0.01
3.0100000000000002,-0.02081601318530571,-0.18534431145889071,0.11472613148274369,-0.008379012460775215,0.01
3.02,-0.019667677307871997,-0.18542262505159798,0.11493555973631298,-0.007282493911489496,0.01
3.0300000000000002,-0.018517301990579448,-0.18548996133712048,0.11513400738062618,-0.006183603772434765,0.01
3.04,-0.017364997160259472,-0.1855462971270467,0.11532145076960687,-0.005082447677192903,0.01
3.0500000000000003,-0.016210872975187307,-0.18559161029066434,0.1154978672519058,-0.003979131526840263,0.01
