t,x,z,v_x,v_z,u_x,u_z,w_x,w_z,H_x,H_z,H'_x,H'_z
5.63,0.845735468110915,-0.8754499783666495,0.8793917491212034,0.7924409701176754,0.8754499783666495,0.845735468110915,0.0039417707545539304,-0.0532944979932396,0.07626220235415633,0.05064575697446963,-0.09495061194818932,0.09064554200224784
5.64,0.8544922814035074,-0.8674816567113397,0.8719567685656863,0.801211175670963,0.8674816567113397,0.8544922814035074,0.0044751118543465696,-0.05328110573254441,0.07530833628776622,0.05154771008971635,-0.0958184090302594,0.08974072260270782
5.65,0.8631743074912659,-0.8594259802063159,0.8644344222896237,0.8099117991215705,0.8594259802063159,0.8631743074912659,0.0050084420833078624,-0.05326250836969537,0.07434583417355109,0.052440571426523815,-0.09667777771967145,0.08882722571134716
5.66,0.8717806759589463,-0.851283649023275,0.8568253600887401,0.8185419714021308,0.851283649023275,0.8717806759589463,0.0055417110654650825,-0.05323870455681545,0.07337478073337275,0.05332425460394335,-0.09752863082552476,0.08790513055851124
5.67,0.8803105229324758,-0.8430553719943927,0.8491302403900984,0.8271008294981557,0.8430553719943927,0.8803105229324758,0.0060748683957057015,-0.05320969343432014,0.07239526155704064,0.054198674037694,-0.09837088194560417,0.08697451724430438
5.68,0.8887629911649763,-0.8347418665513666,0.8413497301955638,0.835587516533641,0.8347418665513666,0.8887629911649763,0.006607863644197187,-0.05317547463133521,0.0714073630944607,0.0550637449488294,-0.09920444538503492,0.0860354667321035
5.69,0.8971372301222263,-0.826343858663605,0.83348450502604,0.8440011818561519,0.826343858663605,0.8971372301222263,0.007140646362434944,-0.05313604826607443,0.07041117264933988,0.05591938337233611,-0.10002923624680227,0.0850880608410951
5.7,0.9054323960675766,-0.8178620827755684,0.8255352488615214,0.8523409811213706,0.8178620827755684,0.9054323960675766,0.0076731660859530315,-0.05309141494620606,0.06940677836952462,0.05676550616565135,-0.10084517040929653,0.08413238223922104
5.71,0.9136476521462235,-0.8092972817432673,0.8175026540843467,0.8606060763771222,0.8092972817432673,0.9136476521462235,0.008205372341079431,-0.05304157576910129,0.068394269241154,0.0576020310171205,-0.1016521645067967,0.0831685144360792
5.72,0.9217821684689617,-0.8006502067699235,0.8093874214181028,0.8687956361468362,0.8006502067699235,0.9217821684689617,0.008737214648179337,-0.05298653232212547,0.06737373507938874,0.05842887645437289,-0.10245013596831365,0.08219654177547087
5.73,0.9298351221952736,-0.7919216173407984,0.8011902598685935,0.8769088355124732,0.7919216173407984,0.9298351221952736,0.009268642527795135,-0.052926286682800416,0.06634526652178767,0.05924596185262994,-0.10323900302294531,0.08121654942797196
5.74,0.9378056976158651,-0.7831122811571958,0.7929118866611744,0.8849448561968728,0.7831122811571958,0.9378056976158651,0.009799605503978626,-0.05286084141899228,0.06530895501892979,0.060053207442932376,-0.10401868472449083,0.08022862338351233
5.75,0.9456930862345317,-0.7742229740696436,0.7845530271797438,0.8929028866455455,0.7742229740696436,0.9456930862345317,0.010330053110100268,-0.05279019958898623,0.0642648928272979,0.06085053432030016,-0.10478910088552418,0.07923285044388884
