t,x,z,history_x,history_z,delta_t
7.1450000000000005,1.005856202477251,0.7959975228862955,-0.10070745385393565,-0.08741990441523129,0.001
7.146,1.0051179839327438,0.7970020062441463,-0.10062311456706396,-0.08752138850429958,0.001
7.147,1.004378765218496,0.7980058067687914,-0.10053865527159189,-0.08762279402760598,0.001
7.148000000000001,1.003638546963507,0.7990089234662522,-0.10045410217276185,-0.0877241208873194,0.001
7.149,1.0028973297977624,0.8000113553431284,-0.10036944713613138,-0.08782536898254634,0.001
7.15,1.0021551143522311,0.8010131014065994,-0.10028468218655462,-0.08792653820993479,0.001
7.151,1.0014119012588705,0.8020141606644201,-0.10019982208937961,-0.08802762847194501,0.001
7.152,1.0006676911506192,0.8030145321249287,-0.10011486523873003,-0.08812863966675621,0.001
7.1530000000000005,0.9999224846614022,0.804014214797042,-0.10002981351521356,-0.08822957169518375,0.001
7.154,0.999176282426128,0.8050132076902571,-0.0999446641328916,-0.08833042445711214,0.001
7.155,0.9984290850806865,0.8060115098146589,-0.09985940643952063,-0.08843119785127129,0.001
7.156000000000001,0.9976808932619518,0.8070091201809113,-0.09977407176900499,-0.08853189178254084,0.001
7.157,0.9969317076077799,0.8080060378002638,-0.09968861667703521,-0.08863250614305684,0.001
7.158,0.9961815287570064,0.8090022616845546,-0.09960304648439688,-0.0887330408343665,0.001
7.159,0.995430357349451,0.8099977908462038,-0.09951740622877736,-0.08883349576579036,0.001
7.16,0.9946781940259097,0.8109926242982239,-0.09943169249738304,-0.08893387083594817,0.001
7.1610000000000005,0.9939250394281616,0.811986761054213,-0.09934582769956535,-0.08903416593425106,0.001
7.162,0.9931708941989645,0.8129802001283579,-0.09925984307576385,-0.08913438096714899,0.001
7.163,0.9924157589820534,0.8139729405354401,-0.09917381928896418,-0.08923451584212927,0.001
7.164000000000001,0.9916596344221432,0.8149649812908287,-0.09908769224050218,-0.0893345704523405,0.001
7.165,0.9909025211649263,0.815956321410486,-0.09900144079112039,-0.08943454470045964,0.001
7.166,0.9901444198570708,0.8169469599109703,-0.09891509286227063,-0.08953443848727716,0.001
7.167,0.9893853311462235,0.8179368958094299,-0.09882865477303682,-0.08963425171196704,0.001
7.168,0.9886252556810048,0.8189261281236135,-0.09874211990204884,-0.08973398427815127,0.001
7.1690000000000005,0.9878641941110127,0.8199146558718623,-0.0986554822960386,-0.0898336360868548,0.001
7.17,0.9871021470868203,0.8209024780731153,-0.0985687070941097,-0.0899332070310983,0.001
7.171,0.9863391152599723,0.8218895937469131,-0.09848184027783446,-0.09003269701902639,0.001
7.172,0.9855750992829908,0.82287600191339,-0.09839491699334246,-0.09013210595875876,0.001
7.173,0.9848100998093681,0.8238617015932865,-0.09830789523399375,-0.0902314337420691,0.001
7.174,0.9840441174935725,0.8248466918079396,-0.09822074743499343,-0.0903306802667494,0.001
7.175,0.9832771529910412,0.8258309715792906,-0.09813348207507033,-0.09042984543920696,0.001
7.176,0.982509206958185,0.8268145399298843,-0.09804613473657042,-0.0905289291629785,0.001
7.1770000000000005,0.9817402800523851,0.8277973958828686,-0.09795871230436859,-0.09062793133640668,0.001
7.178,0.9809703729319951,0.8287795384619953,-0.09787115935952784,-0.09072685185736162,0.001
7.179,0.9801994862563354,0.8297609666916257,-0.09778349796914654,-0.09082569063127721,0.001
7.18,0.9794276206856983,0.830741679596724,-0.09769577711676192,-0.09092444756459983,0.001
7.181,0.9786547768813434,0.8317216762028655,-0.09760796796165039,-0.09102312255561529,0.001
7.182,0.9778809555055005,0.832700955536233,-0.0975200178309592,-0.09112171549899983,0.001
7.183,0.9771061572213661,0.8336795166236187,-0.09743197563679473,-0.09122022630572246,0.001
7.184,0.9763303826931027,0.8346573584924266,-0.09734388407211725,-0.09131865488257418,0.001
7.1850000000000005,0.9755536325858414,0.8356344801706725,-0.0972556758291816,-0.09141700111932138,0.001
7.186,0.974775907565679,0.8366108806869831,-0.0971673594829241,-0.09151526492275508,0.001
7.187,0.973997208299677,0.8375865590706019,-0.09707891548072922,-0.09161344619550604,0.001
7.188,0.9732175354558631,0.8385615143513838,-0.09699041290471655,-0.09171154484371158,0.001
7.189,0.9724368897032275,0.8395357455598021,-0.09690179103156993,-0.09180956076109581,0.001
7.19,0.9716552717117254,0.8405092517269451,-0.09681303158177457,-0.0919074938489608,0.001
7.191,0.9708726821522767,0.8414820318845179,-0.0967242209009953,-0.09200534401888305,0.001
7.192,0.9700891216967611,0.8424540850648466,-0.09663531985294327,-0.09210311116972747,0.001
