t,first_x,first_z,first_xdot,first_zdot,second_x,second_z,second_xdot,second_zdot,third_x,third_z,third_xdot,third_zdot
9.85,-1.4589144911416685,-0.21888974854107004,,,-1.3926283856310249,-0.2150069630753977,,,-1.3926370498355805,-0.21448157376175264,,
9.86,-1.4572871941922536,-0.23311972191439354,,,-1.390950121982272,-0.2285875618565864,,,-1.3909639081843648,-0.22806156668970012,,
9.870000000000001,-1.4555212135575941,-0.24733879210150275,,,-1.3891394856698713,-0.2421558985458148,,,-1.3891584064673284,-0.24162934710208664,,
9.88,-1.4536166074823196,-0.261545609148236,,,-1.387196556530587,-0.25571068403660274,,,-1.387220624044976,-0.25518362607991807,,
9.89,-1.4515734473349162,-0.2757388232026928,,,-1.3851214269431336,-0.2692506296157741,,,-1.385150652817191,-0.26872311509296204,,
9.9,-1.4493918176112368,-0.2899170846426603,,,-1.3829142018280738,-0.2827744470853656,,,-1.3829485972233433,-0.2822465261216278,,
9.91,-1.4470718159367761,-0.30407904420311804,,,-1.3805749986465323,-0.2962808488845705,,,-1.3806145742410347,-0.29575257177888,,
9.92,-1.444613553067708,-0.3182233531038078,,,-1.378103947397726,-0.3097685482117065,,,-1.3781487133836274,-0.30923996543217747,,
9.93,-1.442017152890686,-0.3323486631768577,,,-1.3755011906153072,-0.3232362591461953,,,-1.3755511566965686,-0.3227074213254241,,
9.94,-1.4392827524214038,-0.34645362699444826,,,-1.372766883362523,-0.3366826967705429,,,-1.3728220587527813,-0.33615365470092134,,
9.950000000000001,-1.4364105018019169,-0.3605368979965081,,,-1.369901193226188,-0.3501065772923094,,,-1.3699615866464754,-0.34957738192130916,,
9.96,-1.433400564296723,-0.3745971306184274,,,-1.3669043003094705,-0.36350661816605573,,,-1.3669699199861007,-0.3629773205914867,,
9.97,-1.4302531162876018,-0.3886329804187774,,,-1.3637763972234929,-0.3768815382152574,,,-1.3638472508859478,-0.3763521896804975,,
9.98,-1.4269683472672139,-0.40264310420702326,,,-1.3605176890777453,-0.39023005775417186,,,-1.3605937839566968,-0.38970070964337183,,
