t,E_rel,E_abs
6.175,3.5629723182411996e-07,4.4183589449254646e-07
6.18,3.5648816701288825e-07,4.4214878985135835e-07
6.1850000000000005,3.5667910911925497e-07,4.424618009026571e-07
6.19,3.5687006290812303e-07,4.427749335741328e-07
6.195,3.570610311973978e-07,4.4308819138117105e-07
6.2,3.572520155742524e-07,4.434015763137634e-07
6.205,3.5744300998068534e-07,4.437150808725685e-07
6.21,3.5763401566511575e-07,4.440287066242315e-07
6.215,3.5782504389116494e-07,4.4434246757292824e-07
6.22,3.5801608477798754e-07,4.446563514707472e-07
6.2250000000000005,3.58207145594973e-07,4.449703673653162e-07
6.23,3.5839821136646886e-07,4.452844966723156e-07
6.235,3.585892903631146e-07,4.4559874968116964e-07
6.24,3.587803909754155e-07,4.4591313683708703e-07
6.245,3.5897151202066434e-07,4.462276566919965e-07
6.25,3.5916264191581503e-07,4.465422948659293e-07
6.255,3.593538042784379e-07,4.4685708074072593e-07
6.26,3.5954497841778344e-07,4.4717198861124376e-07
6.265000000000001,3.5973616314413935e-07,4.4748701701224606e-07
6.2700000000000005,3.5992737194175036e-07,4.4780218273374256e-07
6.275,3.601186013887874e-07,4.481174815398001e-07
6.28,3.6030984653259663e-07,4.484329072860458e-07
6.285,3.605011035383081e-07,4.4874845521498464e-07
6.29,3.6069238686816166e-07,4.490641433455593e-07
6.295,3.6088368681575336e-07,4.4937995961358275e-07
6.3,3.610750013868376e-07,4.496959015512476e-07
6.305,3.6126633042692825e-07,4.500119689804591e-07
6.3100000000000005,3.6145768080074467e-07,4.503281704677161e-07
6.315,3.6164904883762786e-07,4.506445014572162e-07
6.32,3.618404377144622e-07,4.509609659238059e-07
6.325,3.620318456706923e-07,4.5127756169022147e-07
6.33,3.622232748333939e-07,4.5159429142423903e-07
6.335,3.6241472618929695e-07,4.5191115637325914e-07
6.34,3.6260619488369206e-07,4.522281505000596e-07
6.345,3.6279769490233747e-07,4.5254529126412126e-07
6.3500000000000005,3.6298921650841004e-07,4.528625665406313e-07
6.355,3.631807514878769e-07,4.5317996609626135e-07
6.36,3.6337232016125787e-07,4.5349751530214244e-07
6.365,3.6356390422768413e-07,4.538151913379307e-07
6.37,3.637555133443168e-07,4.54133006271595e-07
6.375,3.639471345445116e-07,4.5445094392946485e-07
6.38,3.6413878498469577e-07,4.5476902574677834e-07
6.385,3.643304639220514e-07,4.550872508153168e-07
6.390000000000001,3.645221653744565e-07,4.5540561168039016e-07
6.3950000000000005,3.6471389528345564e-07,4.557241157809597e-07
6.4,3.6490564621055e-07,4.560427538391048e-07
6.405,3.650974306800289e-07,4.56361541523134e-07
6.41,3.652892326500744e-07,4.5668045879894117e-07
6.415,3.654810592011899e-07,4.569995145305416e-07
6.42,3.656729099380019e-07,4.5731870823834437e-07
6.425,3.658647912621437e-07,4.5763804794413344e-07
6.43,3.6605670125903335e-07,4.5795753127095043e-07
6.4350000000000005,3.6624862829398755e-07,4.582771436774299e-07
6.44,3.6644058967819224e-07,4.5859690683733933e-07
6.445,3.6663256859632416e-07,4.5891679972282765e-07
6.45,3.6682458698590645e-07,4.5923684980684794e-07
6.455,3.670166342520751e-07,4.595570438460034e-07
6.46,3.6720870527675984e-07,4.598773754463673e-07
6.465,3.674008105480541e-07,4.601978577572466e-07
6.47,3.675929386916313e-07,4.6051847654771387e-07
6.4750000000000005,3.67785099650524e-07,4.6083924428762184e-07
6.48,3.6797728993600624e-07,4.611601566221611e-07
6.485,3.681695070562842e-07,4.614812104428552e-07
6.49,3.68361751190258e-07,4.6180240598698186e-07
6.495,3.6855402995553057e-07,4.6212375281900724e-07
6.5,3.687463358973229e-07,4.624452416075153e-07
6.505,3.6893867609319314e-07,4.627668812425517e-07
6.51,3.6913104857516027e-07,4.6308866927214093e-07
6.515000000000001,3.6932345049484675e-07,4.634106021376824e-07
6.5200000000000005,3.695158908192907e-07,4.6373269110589966e-07
6.525,3.697083576549237e-07,4.6405492126705576e-07
6.53,3.6990086702206136e-07,4.643773127441809e-07
6.535,3.7009340297568053e-07,4.646998455374831e-07
6.54,3.702859682574458e-07,4.650225231006418e-07
