t,x,z,v_x,v_z,u_x,u_z,w_x,w_z,H_x,H_z,H'_x,H'_z,F_x,F_z
8.24,-0.2144688462027953,1.3156184943886775,-1.284090024705014,-0.16213837569034267,-1.3156184943886775,-0.2144688462027953,0.03152846968366352,0.052330470512452626,-0.14913342582767378,-0.07902012899630036,0.031218246895252655,-0.13468335812708032,0.031218583460673768,-0.1346855447842077
8.25,-0.22730388076416932,1.313934511009352,-1.2828965653778066,-0.1746570850363498,-1.313934511009352,-0.22730388076416932,0.031037945631545494,0.05264679572781952,-0.14881453472954315,-0.08036571082742923,0.03255893551727773,-0.13442645202783687,0.03255929334365916,-0.13442863607553343
8.26,-0.24012637112044383,1.3121253789676375,-1.2815811894631548,-0.18716791047398304,-1.3121253789676375,-0.24012637112044383,0.030544189504482677,0.05295846064646079,-0.14848224711732824,-0.08170865803685703,0.03389748558537242,-0.13415644192801146,0.033897864707980785,-0.13415862315848606
8.27,-0.25293509829828653,1.3101911830335096,-1.280143937389795,-0.19966966582195833,-1.3101911830335096,-0.25293509829828653,0.030047245643714637,0.0532654324763282,-0.14813658501783572,-0.0830488396659894,0.03523376937364997,-0.13387334473129275,0.03523416979106749,-0.13387552293684846
8.28,-0.2657288437862928,1.3081320198386486,-1.2785848611167927,-0.21216116493995996,-1.3081320198386486,-0.2657288437862928,0.02954715872185587,0.053567678846332845,-0.14777757172985526,-0.08438612493148284,0.03656765934151274,-0.13357717858659957,0.03656808095615198,-0.13357935355998116
8.290000000000001,-0.27850638965031904,1.3059479978754642,-1.2769040241365608,-0.22464122184063137,-1.3059479978754642,-0.27850638965031904,0.02904397373890344,0.05386516780968767,-0.1474052318310054,-0.08572038323772156,0.037899027835335275,-0.13326796288838416,0.037899470704407856,-0.13327013442197067
8.3,-0.29126651864881314,1.3036392374950094,-1.2751015014767924,-0.2371086508016029,-1.3036392374950094,-0.29126651864881314,0.028537736018217075,0.054157867847210245,-0.1470195911731485,-0.08705148418925071,0.039227747617613495,-0.13294571827380253,0.03922821168707731,-0.13294788616066
8.31,-0.30400801434818747,1.3012058709037695,-1.2731773797013033,-0.24956226647759686,-1.3012058709037695,-0.30400801434818747,0.0280284912024662,0.054445747870590616,-0.14662067687865316,-0.08837929760319756,0.040553691496191924,-0.13261046662317888,0.040554176717598076,-0.13261263065655854
8.32,-0.3167296612381708,1.2986480421593278,-1.2711317569097902,-0.2620008840125519,-1.2986480421593278,-0.3167296612381708,0.027516285249537642,0.05472877722561892,-0.14620851734322468,-0.08970369352171423,0.04187673241169243,-0.1322622310586068,0.04187723878371889,-0.13226439103163581
8.33,-0.32943024484716055,1.2959659071649172,-1.2689647427365012,-0.2744233191517872,-1.2959659071649172,-0.32943024484716055,0.027001164428416047,0.055006925695373354,-0.14578314223041933,-0.09102454222436965,0.04319674358497494,-0.13190103594178826,0.043197271059609764,-0.13190319164799813
8.34,-0.3421085518575666,1.2931596336628406,-1.2666764583478098,-0.2868283883541956,-1.2931596336628406,-0.3421085518575666,0.02648317531503075,0.055280163503371005,-0.1453445824715252,-0.09234171424054995,0.04451359835325697,-0.13152690687339597,0.04451414691796143,-0.13152905810644508
8.35,-0.3547633702211016,1.290229401226778,-1.2642670364387056,-0.29921490890442354,-1.290229401226778,-0.3547633702211016,0.025962364788072456,0.055548461316678066,-0.1448928702633542,-0.0936550803618375,0.045827170315270394,-0.131139870690947,0.04582773994207415,-0.13114201724490893
