t_heavy,q_heavy,t_med,q_med,t_light,q_light,asymp_t_heavy,asymp_q_heavy,asymp_t_med,asymp_q_med,asymp_t_light,asymp_q_light,y1_heavy,y2_heavy,y1_med,y2_med,y1_light,y2_light,asymp_y1_heavy,asymp_y2_heavy,asymp_y1_med,asymp_y2_med,asymp_y1_light,asymp_y2_light
0.281155015197569,0.970917874396135,2.72796352583587,0.990676328502415,6.23100303951368,0.996763285024155,0.281155015197569,0.96975845410628,1.4741641337386,0.989468599033816,2.34802431610942,0.996183574879227,0.0192871445734882,0.0184801716501716,0.00841009211053264,0.00578804816349095,,,0.0123508209851822,0.0121708373510627,0.00993191830196236,0.00971483319847143,,
0.402735562310031,0.96951690821256,3.32066869300912,0.990579710144927,7.13525835866261,0.996763285024155,0.319148936170213,0.967536231884058,2.02887537993921,0.98951690821256,3.21428571428571,0.996183574879227,0.0207128554265118,0.0195711300029284,0.00853824589507409,0.00530946931306179,,,0.0139527432919503,0.0138081916979191,0.00999599519423308,0.00937303807849603,,
0.539513677811551,0.968502415458937,3.94376899696049,0.990531400966183,7.96352583586626,0.99671497584541,0.395136778115502,0.965314009661836,2.69756838905775,0.989565217391304,4.03495440729483,0.996135265700483,0.022058470164197,0.0206963937590712,0.0086984381257509,0.00462582433772464,,,0.0156187424909892,0.0154112680090824,0.0100120144173008,0.00845045945795547,,
0.721884498480244,0.967729468599034,4.53647416413374,0.990531400966183,8.70060790273556,0.99671497584541,0.493920972644378,0.963719806763285,3.54103343465046,0.989565217391304,4.88601823708207,0.996231884057971,0.0233400080096115,0.021719261291226,0.0087785342410893,0.00394231620085333,,,0.0175730877052463,0.0172530316562107,0.0100120144173008,0.00742540251034728,,
0.94224924012158,0.967149758454106,5.12917933130699,0.990531400966183,9.52127659574468,0.99671497584541,0.630699088145897,0.962512077294686,4.5516717325228,0.989565217391304,5.61550151975684,0.996183574879227,0.0244132959551462,0.0222982932594284,0.00887464957949539,0.00312210643660776,,,0.019142971565879,0.0188221036086128,0.0100280336403684,0.00564860976679989,,
1.17021276595745,0.966763285024154,5.82826747720365,0.990483091787439,9.87082066869301,0.99671497584541,0.828267477203647,0.96183574879227,5.75227963525836,0.989661835748792,6.29939209726444,0.996183574879227,0.0251982378854625,0.0227411435864267,0.00893872647176612,0.00223361427790796,,,0.0204565478574289,0.0200499277949028,0.0100120144173008,0.00400854601831994,,
1.41337386018237,0.966473429951691,6.54255319148936,0.990434782608695,,,1.09422492401216,0.961545893719807,6.94528875379939,0.989661835748792,7.15045592705167,0.996183574879227,0.0259030837004405,0.0231499621869706,0.00900280336403684,0.0013451221192082,,,0.022058470164197,0.0215847764469984,0.0100120144173008,0.0026759719864293,,
1.72492401215805,0.966135265700483,7.33282674772037,0.990434782608695,,,1.45896656534954,0.961449275362319,8.1306990881459,0.989661835748792,7.86474164133739,0.996183574879227,0.0267040448538246,0.0233877737567541,0.00905086103323988,0.000627500152802961,,,0.0235963155786944,0.0229830603101854,0.0100120144173008,0.00141173508437916,,
2.09726443768997,0.965845410628019,8.24468085106383,0.990386473429952,,,1.92249240121581,0.961497584541063,9.3161094224924,0.989710144927536,8.62462006079027,0.996183574879227,0.0273608329995995,0.0234549888111748,0.00906688025630757,0.000114944311305688,,,0.0255826992390869,0.0248589377868476,0.0100120144173008,0.00028417244201015,,
2.48480243161094,0.965652173913043,9.06534954407295,0.990338164251208,,,2.56079027355623,0.961545893719807,9.84802431610942,0.98975845410628,9.35410334346505,0.996183574879227,0.0278253904685623,0.0234883637129932,,,,,0.0273287945534642,0.0264277086946249,,,,
2.93313069908815,0.965507246376811,9.85562310030395,0.99024154589372,,,3.07750759878419,0.961642512077295,,,9.79483282674772,0.996183574879227,0.0283700440528634,0.0233507589517444,,,,,0.0292350820985182,0.0281328801851516,,,,
3.42705167173252,0.965314009661836,7.93754657760098,0.990375516362298,,,3.59422492401216,0.961739130434782,,,,,0.0289146976371646,0.023144817060655,,,,,0.0307408890668803,0.0293945445240439,,,,
4.03495440729483,0.965169082125604,8.30134656018475,0.990286566351969,,,4.21732522796353,0.96183574879227,,,,,0.0294112935522627,0.0226997773182033,,,,,0.0320865038045655,0.030417302585426,,,,
4.6580547112462,0.965024154589372,8.66516528441153,0.990282478501135,,,4.90121580547113,0.961980676328502,,,,,0.0298277933520224,0.0222548744142173,,,,,0.0336243492190629,0.0314739007994103,,,,
