t,x,z,xdot,zdot
0.55,-0.5510867279841223,-0.15447729020795206,-1.0019758690620386,-0.37361615970967765
0.555,-0.5560966073294324,-0.15634620069663246,-1.0019758690620386,-0.3739464984396795
0.56,-0.5611064866747426,-0.15821673594565622,-1.0019758690620386,-0.37426611375141516
0.5650000000000001,-0.5661163660200528,-0.1600888432122379,-1.0019758690620386,-0.37457535374726836
0.5700000000000001,-0.5711262453653629,-0.16196247146572246,-1.0019758690620386,-0.3748745552295627
0.5750000000000001,-0.5761361247106731,-0.1638375713320061,-1.0019758690620386,-0.3751640440673831
0.58,-0.5811460040559833,-0.1657140950397616,-1.0019758690620386,-0.3754441355514893
0.585,-0.5861558834012934,-0.16759199636840907,-1.0019758690620386,-0.37571513473770835
0.59,-0.5911657627466036,-0.16947123059777588,-1.0019758690620386,-0.37597733677917966
0.595,-0.5961756420919138,-0.17135175445939058,-1.0019758690620386,-0.3762310272478151
0.6,-0.6011855214372239,-0.17323352608935783,-1.0019758690620386,-0.37647648244532356
0.605,-0.6061954007825341,-0.17511650498276338,-1.0019758690620386,-0.37671396970413934
0.61,-0.6112052801278443,-0.17700065194955883,-1.0019758690620386,-0.3769437476785817
0.615,-0.6162151594731544,-0.17888592907187872,-1.0019758690620386,-0.3771660666265627
0.62,-0.6212250388184646,-0.18077229966274302,-1.0019758690620386,-0.37738116868215066
0.625,-0.6262349181637747,-0.18265972822610027,-1.0019758690620386,-0.37758928811928527
0.63,-0.6312447975090849,-0.18454818041816776,-1.0019758690620386,-0.37779065160693226
0.635,-0.6362546768543951,-0.18643762301002678,-1.0019758690620386,-0.37798547845595515
0.64,-0.6412645561997052,-0.188328023851432,-1.0019758690620386,-0.3781739808579732
0.645,-0.6462744355450154,-0.19021935183579564,-1.0019758690620386,-0.3783563641164655
0.65,-0.6512843148903256,-0.1921115768663085,-1.0019758690620386,-0.3785328268703729
0.655,-0.6562941942356357,-0.19400466982316059,-1.0019758690620386,-0.3787035613104415
0.66,-0.6613040735809459,-0.1958986025318258,-1.0019758690620386,-0.3788687533885435
0.665,-0.6663139529262561,-0.19779334773237636,-1.0019758690620386,-0.37902858302020226
0.67,-0.6713238322715662,-0.1996888790497931,-1.0019758690620386,-0.3791832242805442
