x,z,beta,method
0.3940672781444349,-0.2672145066130366,0.96,Santamaria
0.3964512820879728,-0.27510063994565376,0.96,Santamaria
0.3986121820276643,-0.2829946365301145,0.96,Santamaria
0.40054997352022015,-0.29089049093433794,0.96,Santamaria
0.40226483495868026,-0.2987821951605182,0.96,Santamaria
0.4037571275280304,-0.30666374356231524,0.96,Santamaria
0.4050273950049793,-0.3145291378021013,0.96,Santamaria
0.40607636340278874,-0.3223723918418905,0.96,Santamaria
0.4069049404599213,-0.33018753696211994,0.96,Santamaria
0.4075142149667346,-0.3379686268026924,0.96,Santamaria
0.40790545593463673,-0.3457097424185097,0.96,Santamaria
0.4080801116148095,-0.3534049973430396,0.96,Santamaria
0.40803980835189646,-0.36104854265476677,0.96,Santamaria
0.4077863492788188,-0.3686345720384858,0.96,Santamaria
0.4073217128646403,-0.37615732683605935,0.96,Santamaria
0.40664805130074566,-0.38361110107968405,0.96,Santamaria
0.40576768873116936,-0.39099024650128544,0.96,Santamaria
0.4046831193350744,-0.3982891775129314,0.96,Santamaria
0.4033970052498402,-0.40550237614949713,0.96,Santamaria
0.4019121743482369,-0.41262439696975134,0.96,Santamaria
0.40023161786700184,-0.41964987190948433,0.96,Santamaria
0.39835848788190226,-0.42657351507783137,0.96,Santamaria
0.39629609464613297,-0.43339012749614925,0.96,Santamaria
0.3940479037794132,-0.44009460176849496,0.96,Santamaria
0.391617533315158,-0.44668192667913564,0.96,Santamaria
0.38900875061659235,-0.4531471917163054,0.96,Santamaria
0.3862254691487228,-0.4594855915085325,0.96,Santamaria
0.38327174512028545,-0.46569243017382667,0.96,Santamaria
0.380151773999138,-0.4717631255778705,0.96,Santamaria
0.37686988689377987,-0.4776932134886768,0.96,Santamaria
0.3734305468158361,-0.4834783516308933,0.96,Santamaria
0.36983834482211253,-0.48911432363208956,0.96,Santamaria
0.3660979960349099,-0.4945970428515124,0.96,Santamaria
0.36221433555541366,-0.4999225560973475,0.96,Santamaria
0.3581923142632074,-0.5050870472181677,0.96,Santamaria
0.3540369945091236,-0.5100868405667889,0.96,Santamaria
0.3497535457120087,-0.5149184043410726,0.96,Santamaria
0.3453472398515641,-0.5195783537833879,0.96,Santamaria
0.3408234468699251,-0.524063454244784,0.96,Santamaria
0.33618762998717167,-0.5283706241131787,0.96,Santamaria
0.331445340927339,-0.5324969375901237,0.96,Santamaria
0.32660221506674547,-0.5364396273238401,0.96,Santamaria
0.32166396650806917,-0.540196086895019,0.96,Santamaria
0.31663638308007414,-0.5437638731429262,0.96,Santamaria
0.3115253212742385,-0.5471407083420486,0.96,Santamaria
0.30633670111955164,-0.5503244822204933,0.96,Santamaria
0.30107650099896854,-0.5533132538131228,0.96,Santamaria
0.2957507524171133,-0.5561052531599007,0.96,Santamaria
0.29036553472036936,-0.5586988828378517,0.96,Santamaria
0.2849269697747948,-0.5610927193241926,0.96,Santamaria
0.27944121660958626,-0.5632855141998893,0.96,Santamaria
0.2739144660281902,-0.5652761951809543,0.96,Santamaria
0.2683529351930322,-0.5670638669758382,0.96,Santamaria
0.2627628621918205,-0.5686478119891754,0.96,Santamaria
0.2571505005861554,-0.5700274908430127,0.96,Santamaria
0.2515221139497175,-0.5712025427247014,0.96,Santamaria
0.24588397040240417,-0.5721727855699386,0.96,Santamaria
0.24024233714466403,-0.5729382160757663,0.96,Santamaria
0.23460347499684095,-0.5734990095383913,0.96,Santamaria
0.22897363294909653,-0.5738555195229592,0.96,Santamaria
0.22335904272739765,-0.5740082773647592,0.96,Santamaria
0.21776591338027682,-0.5739579914985619,0.96,Santamaria
0.21220042589100022,-0.5737055466235577,0.96,Santamaria
0.2066687278244133,-0.5732520026830773,0.96,Santamaria
0.2011769280052137,-0.5725985937092674,0.96,Santamaria
0.19573109124090846,-0.5717467264795482,0.96,Santamaria
0.19033723309054024,-0.5706979790151064,0.96,Santamaria
0.18500131468352626,-0.5694540989239544,0.96,Santamaria
0.17972923759671947,-0.5680170015763578,0.96,Santamaria
0.17452683879199757,-0.5663887681252476,0.96,Santamaria
0.1693998856178752,-0.5645716433768646,0.96,Santamaria
0.1643540708843892,-0.5625680335014347,0.96,Santamaria
0.15939500800976533,-0.5603805036007511,0.96,Santamaria
0.15452822625051604,-0.5580117751210767,0.96,Santamaria
0.14975916601232328,-0.5554647231283479,0.96,Santamaria
0.14509317424962076,-0.5527423734406989,0.96,Santamaria
0.14053549996075307,-0.5498478996185554,0.96,Santamaria
0.13609128977420837,-0.5467846198287074,0.96,Santamaria
0.1317655836411534,-0.5435559935691902,0.96,Santamaria
0.12756331062922083,-0.5401656182716696,0.96,Santamaria
0.123489284823906,-0.5366172257809505,0.96,Santamaria
0.11954820134649091,-0.5329146787100927,0.96,Santamaria
0.11574463248021097,-0.5290619666880073,0.96,Santamaria
0.11208302392212251,-0.5250632024888404,0.96,Santamaria
0.10856769115394299,-0.5209226180581138,0.96,Santamaria
